stz1,stz2
0.5,11.0
5.0,5.5
4.0,4.5
2.0,2.5
2.0,2.5
0.5,0.5
3.5,6.0
1.5,2.0
3.0,3.0
5.5,3.5
5.0,2.0
4.0,3.0
1.0,1.5
8.5,13.5
1.0,2.5
4.5,6.0
3.5,1.5
4.0,0.5
1.5,0.5
4.0,2.5
2.0,3.5
7.0,4.5
0.5,7.0
5.0,1.5
1.5,1.5
1.0,1.0
4.0,1.5
1.0,1.0
1.0,2.0
1.0,5.0
0.5,1.5
0.5,2.0
0.5,1.0
0.5,0.5
2.0,5.0
0.5,2.5
4.5,6.5
0.5,0.5
3.0,4.0
0.5,2.5
0.5,3.0
1.0,1.0
0.5,1.0
4.0,0.5
0.5,1.0
4.5,7.5
1.5,1.5
3.0,11.5
6.5,9.0
19.5,22.0
2.0,3.0
6.0,8.5
7.5,8.5
1.0,7.5
7.5,11.0
6.0,16.0
0.5,9.0
0.5,7.0
6.5,5.0
35.0,58.0
5.5,8.0
0.5,7.5
10.5,9.0
27.0,28.0
15.0,15.5
0.5,4.5
1.0,3.0
1.5,1.0
1.0,1.0
0.5,3.5
0.5,1.5
0.5,5.0
1.5,1.0
0.5,2.0
1.0,1.0
1.0,0.5
0.5,2.5
1.0,1.5
2.0,0.5
1.0,1.0
1.0,1.0
1.5,1.0
1.0,0.5
0.5,1.0
1.5,1.5
0.5,5.5
2.5,2.0
1.0,3.5
4.0,10.0
2.0,2.5
2.5,4.0
0.5,2.0
1.0,5.0
2.0,7.5
0.5,7.0
2.0,3.5
1.5,5.5
4.5,4.5
1.0,3.0
0.5,7.5
0.5,10.0
1.0,6.5
0.5,35.5
2.0,8.5
0.5,2.0
7.5,9.0
1.5,3.0
3.5,8.0
2.0,4.0
2.5,4.0
0.5,2.5
0.5,1.0
1.5,3.0
3.0,5.5
39.0,44.0
2.5,3.0
7.5,9.0
4.5,5.5
0.5,2.0
8.5,11.0
1.0,2.5
3.0,4.5
2.0,3.5
2.0,3.0
2.5,6.5
1.0,1.0
1.5,3.5
1.0,1.0
3.5,0.5
0.5,1.5
1.0,1.5
0.5,3.0
3.0,0.5
0.5,0.5
1.5,1.5
1.0,5.0
2.0,2.0
1.0,0.5
3.5,2.5
2.0,1.5
1.5,2.5
0.5,1.0
1.5,5.0
1.5,0.5
1.0,0.5
5.0,9.5
41.5,46.5
3.0,4.5
24.0,27.0
4.5,9.5
4.0,6.5
11.5,16.5
4.0,9.0
9.5,12.0
27.5,30.0
5.0,6.5
8.5,17.0
3.5,8.5
3.5,6.5
14.5,14.5
6.5,9.0
10.0,14.0
3.0,3.0
32.5,38.0
1.5,7.0
2.0,7.5
13.0,9.5
5.0,1.0
6.0,3.5
0.5,1.5
2.0,3.5
1.5,1.5
0.5,0.5
110.5,140.5
90.0,97.0
1.5,9.5
4.0,3.5
3.0,3.5
2.5,1.0
1.5,8.5
12.0,10.0
2.0,1.0
8.5,12.5
1.5,8.0
17.0,15.5
3.0,3.0
15.5,14.5
33.5,34.0
12.0,17.0
5.0,5.5
9.0,9.0
8.0,11.0
5.0,4.5
8.5,10.5
17.0,16.5
9.5,8.0
0.5,0.5
3.5,3.5
21.0,19.5
15.0,14.5
48.5,50.5
26.0,28.0
2.0,1.5
12.0,11.0
17.0,16.0
4.0,2.0
20.5,17.5
4.5,4.5
1.5,9.5
2.0,17.5
4.0,2.0
2.0,0.5
4.5,2.5
4.5,4.0
3.0,1.5
3.0,1.5
3.5,1.0
6.0,4.0
2.0,1.0
1.0,1.5
5.0,9.0
4.5,2.5
1.5,3.0
0.5,0.5
2.0,2.0
2.0,0.5
1.5,0.5
1.0,5.5
2.0,1.5
1.0,1.0
1.0,1.5
0.5,1.0
0.5,1.0
1.5,11.0
0.5,2.0
0.5,1.0
0.5,3.0
0.5,1.0
0.5,3.0
2.5,0.5
0.5,1.5
0.5,1.5
0.5,1.0
0.5,4.5
0.5,4.5
0.5,1.0
1.0,3.5
0.5,0.5
1.0,7.5
1.0,6.5
0.5,15.0
3.5,1.5
1.5,3.0
1.0,2.0
1.0,0.5
2.5,0.5
1.0,5.5
0.5,5.0
0.5,8.5
1.0,7.5
0.5,11.0
0.5,2.5
1.0,2.0
1.5,1.0
2.0,32.0
1.0,3.0
1.0,2.0
1.0,1.5
1.0,2.0
2.0,2.0
1.0,1.5
0.5,1.5
1.0,1.5
1.0,1.5
0.5,1.0
1.0,1.0
1.5,1.5
0.5,1.5
1.0,1.5
1.0,1.5
1.0,2.0
1.5,1.5
1.0,0.5
0.5,1.5
1.5,1.5
2.0,1.0
2.5,2.0
2.0,0.5
1.5,2.5
2.0,3.5
1.0,3.5
7.0,1.5
1.0,2.0
2.5,0.5
0.5,1.0
0.5,4.5
1.5,1.5
1.5,1.0
0.5,1.0
1.0,0.5
1.5,1.0
5.0,1.0
1.0,0.5
2.0,0.5
0.5,0.5
1.5,0.5
0.5,22.5
2.0,3.0
2.5,8.0
3.0,3.0
1.0,1.5
1.0,2.0
2.5,16.0
0.5,6.0
1.0,20.5
4.0,3.0
1.5,0.5
11.0,4.5
12.5,7.0
14.0,10.0
15.0,13.5
9.5,4.0
2.0,10.5
2.0,2.5
1.5,4.0
13.0,12.0
2.0,1.0
1.5,0.5
2.5,1.0
2.0,0.5
2.5,2.0
5.0,3.5
2.0,1.5
3.0,1.5
2.5,1.0
2.0,0.5
2.0,1.0
2.5,1.5
5.0,3.5
3.0,1.5
4.0,2.0
1.0,0.5
4.5,3.0
1.0,3.5
6.0,4.5
3.5,2.5
6.5,10.0
4.5,10.0
7.5,12.0
2.5,3.0
7.5,12.0
6.0,5.5
7.0,8.0
5.0,3.0
16.0,16.5
10.5,12.5
15.5,18.0
12.5,12.0
23.0,25.5
7.5,7.5
8.0,12.0
7.5,10.0
3.0,3.0
6.5,6.5
2.5,12.0
1.0,0.5
1.0,9.0
0.5,2.0
0.5,1.0
0.5,1.0
2.0,0.5
2.5,1.5
1.0,9.0
2.0,3.5
1.5,0.5
0.5,2.0
2.0,1.0
0.5,1.0
0.5,2.5
0.5,1.0
1.0,21.0
1.5,0.5
1.0,4.0
0.5,1.0
3.0,1.5
9.0,12.0
7.5,20.0
7.5,8.0
12.0,18.5
4.5,13.5
2.0,0.5
0.5,8.0
3.5,6.5
4.0,8.5
3.0,1.0
14.5,13.0
1.5,5.5
8.5,4.0
12.0,6.0
11.0,8.0
6.0,28.0
7.5,7.5
2.0,2.5
3.0,7.0
7.0,7.0
1.0,2.0
9.5,6.5
10.5,12.0
24.0,19.0
8.5,3.0
3.0,3.0
5.0,3.0
8.0,4.5
19.5,16.5
4.5,3.0
8.5,4.0
1.0,1.0
6.0,2.0
5.0,1.5
2.5,1.0
4.0,1.5
10.5,6.5
10.0,9.5
7.0,4.0
0.5,1.0
4.5,7.0
4.5,13.0
2.0,1.5
0.5,1.5
1.5,2.0
1.5,5.0
0.5,2.5
4.5,5.0
3.0,5.0
1.0,3.0
2.5,2.0
2.0,3.5
6.5,7.0
2.5,4.0
6.0,7.5
1.0,2.5
5.0,5.0
1.0,3.5
0.5,8.5
2.0,0.5
8.0,10.0
6.5,5.0
5.0,5.0
45.0,44.5
4.0,9.0
9.5,4.0
13.5,20.0
24.0,16.0
5.0,5.0
2.0,1.5
9.0,2.0
5.5,0.5
29.5,30.5
24.5,18.5
4.0,5.0
5.0,12.5
16.0,14.0
6.0,6.0
3.5,3.5
24.0,20.0
0.5,3.0
1.5,6.5
2.0,7.0
4.0,5.5
1.5,2.0
1.0,2.5
0.5,1.0
0.5,6.0
4.5,7.0
7.5,8.5
2.0,5.0
3.0,5.0
2.5,4.0
1.0,1.5
0.5,6.5
1.5,4.5
1.5,3.0
1.0,6.5
1.5,2.0
7.5,8.0
2.0,4.0
1.5,4.5
2.0,4.0
1.0,5.0
3.5,8.5
3.0,6.0
4.5,7.5
5.5,8.5
1.5,4.0
6.5,8.5
3.0,6.0
4.0,6.5
6.0,7.5
3.5,6.5
2.0,4.0
3.0,4.5
0.5,3.0
2.0,4.5
4.5,8.5
3.0,6.0
6.0,4.5
4.5,1.0
3.5,3.0
3.5,1.5
3.5,2.0
4.0,2.5
5.0,2.0
2.5,0.5
6.0,2.5
6.5,4.5
3.5,1.5
5.0,3.5
4.0,0.5
4.5,3.0
4.0,2.5
19.5,18.0
4.5,3.0
4.0,2.5
5.0,3.0
6.5,5.0
1.5,2.5
1.5,4.0
1.0,5.5
2.0,3.5
1.5,6.0
0.5,1.0
3.0,5.5
2.0,6.0
2.0,3.5
1.0,1.0
1.0,3.0
1.0,3.0
2.0,7.5
0.5,12.0
0.5,1.0
5.0,7.5
1.5,4.5
21.0,22.5
3.0,8.5
17.5,19.5
4.0,4.0
4.5,5.0
8.5,9.0
14.0,14.5
7.5,9.5
4.5,4.5
5.5,7.0
17.0,17.0
15.0,16.0
4.0,4.0
4.0,4.5
5.5,6.5
6.5,7.5
7.5,9.0
6.5,7.5
16.5,18.5
4.0,7.0
3.0,5.0
5.0,6.5
4.0,6.0
1.5,5.0
3.0,6.0
2.0,2.5
2.0,8.0
1.0,4.0
1.0,4.5
0.5,2.5
1.5,3.5
0.5,2.5
0.5,3.0
1.5,3.5
2.0,4.5
1.0,8.5
1.0,5.5
1.0,3.0
5.5,12.5
1.0,3.5
3.0,6.5
4.5,7.0
1.0,3.5
18.0,30.0
3.5,6.0
1.0,5.0
2.0,8.0
1.5,2.0
2.5,4.0
1.5,1.5
1.5,4.0
0.5,3.0
2.5,8.5
1.5,4.0
3.5,7.5
2.5,5.5
4.0,3.5
0.5,8.5
2.0,0.5
1.0,1.5
2.0,4.5
2.5,1.0
2.5,5.0
3.5,1.5
3.5,0.5
3.5,0.5
2.5,1.0
3.5,5.0
4.0,24.5
3.0,3.0
2.0,1.5
2.5,1.5
3.0,2.0
4.0,0.5
4.0,1.5
5.0,2.0
3.0,2.0
4.5,1.0
2.0,1.0
5.0,2.0
7.5,5.5
2.5,1.0
22.5,19.5
5.5,5.0
5.5,5.5
11.0,11.0
4.0,4.5
3.5,4.5
13.5,13.0
10.0,9.5
3.0,3.5
7.0,6.5
5.5,4.5
5.0,4.5
7.5,7.5
7.5,9.0
3.0,2.5
6.0,6.0
12.0,13.0
4.0,4.5
5.0,5.0
4.5,4.5
10.5,10.5
3.0,0.5
2.5,0.5
6.0,3.5
5.5,4.0
7.0,5.0
5.5,3.0
5.5,3.5
5.0,5.5
6.0,3.5
2.5,0.5
5.0,10.0
16.5,20.0
3.0,1.0
4.0,2.0
7.0,8.5
2.5,1.5
10.5,13.5
4.5,1.5
3.5,1.5
3.5,2.0
1.5,0.5
2.0,1.5
0.5,0.5
0.5,3.0
2.0,3.0
2.0,2.5
2.0,34.0
1.5,4.5
3.0,1.5
1.0,0.5
1.0,5.5
3.0,2.0
1.0,0.5
0.5,2.5
2.0,7.5
2.5,1.0
1.0,4.0
2.0,0.5
3.0,4.5
2.5,1.0
2.5,9.0
1.0,8.0
5.0,5.0
1.0,6.0
6.5,7.0
1.5,0.5
5.0,8.5
0.5,121.0
3.0,1.5
2.5,3.5
2.5,0.5
3.0,1.5
3.5,8.5
1.5,4.5
2.5,7.0
3.0,1.5
1.0,1.5
1.5,5.5
1.5,2.0
6.0,4.5
1.0,3.5
6.5,10.5
5.0,8.0
3.5,5.5
6.0,8.5
14.5,17.0
0.5,3.0
1.5,4.0
1.0,3.0
0.5,3.0
3.0,7.5
2.0,6.0
1.5,6.0
2.0,5.5
5.5,9.0
4.0,8.0
4.0,6.5
0.5,2.0
0.5,4.5
0.5,4.0
0.5,2.5
1.5,0.5
1.5,1.0
1.0,2.0
2.0,1.0
1.0,3.0
0.5,1.0
1.0,2.0
1.5,1.0
0.5,2.5
1.0,1.5
0.5,1.5
0.5,1.0
2.5,3.0
0.5,2.5
0.5,2.0
1.0,1.0
1.0,1.0
0.5,2.0
1.0,1.5
1.0,1.5
2.5,2.0
1.0,2.0
0.5,1.5
0.5,0.5
0.5,1.0
1.0,1.0
2.5,0.5
2.0,3.0
1.5,1.5
2.0,1.0
1.5,1.0
2.0,1.5
2.0,0.5
2.5,5.0
1.0,3.5
1.5,1.5
2.5,1.5
2.5,1.0
1.5,3.0
0.5,0.5
6.5,6.0
1.0,3.0
1.0,1.0
0.5,0.5
1.5,2.0
3.0,2.5
0.5,0.5
8.5,8.0
5.5,6.0
2.5,2.5
0.5,2.0
3.0,2.0
1.0,0.5
13.0,11.5
0.5,0.5
8.0,7.5
4.5,4.0
3.5,6.0
22.0,22.0
4.5,6.5
3.5,5.0
4.5,7.0
2.5,4.5
14.0,25.5
11.5,12.5
4.0,6.0
6.0,7.0
10.0,11.5
1.5,2.5
2.0,3.0
5.0,6.0
6.0,7.5
4.5,7.5
0.5,2.5
1.5,3.5
4.5,5.0
2.0,3.0
9.5,11.0
2.0,3.5
7.0,13.0
5.0,6.5
3.5,4.5
42.5,44.5
6.5,9.0
6.5,8.0
2.5,3.5
5.5,6.5
5.5,9.0
5.5,7.0
1.5,3.0
9.0,11.5
2.5,2.5
6.0,7.0
9.0,11.0
5.0,7.5
3.5,4.0
3.5,7.0
4.0,5.5
5.5,8.5
0.5,3.0
4.0,11.5
3.5,6.0
0.5,3.5
3.5,6.0
2.5,9.5
13.5,15.5
1.5,3.0
2.5,6.5
3.5,5.0
2.0,4.5
0.5,4.0
0.5,5.0
3.5,5.5
2.5,3.5
0.5,4.5
1.5,6.5
1.5,4.0
4.5,6.5
3.0,3.0
0.5,1.5
1.0,2.5
3.0,4.0
68.0,82.0
0.5,1.0
4.0,2.0
7.0,9.0
2.0,2.0
33.0,31.5
6.0,3.5
1.5,3.5
20.5,22.5
2.0,1.5
16.5,16.0
15.0,19.5
2.0,4.0
1.5,3.0
23.5,56.0
3.5,3.5
3.0,2.0
2.0,2.5
2.0,6.0
2.5,7.5
2.5,35.0
5.5,2.0
1.0,4.5
2.5,3.5
114.5,115.0
0.5,0.5
2.5,3.5
0.5,5.0
1.0,3.5
3.0,14.0
2.0,3.0
2.5,5.0
12.5,12.0
6.0,12.0
1.0,15.5
5.5,6.5
2.0,9.0
1.5,1.0
1.5,0.5
1.5,1.5
1.0,1.0
1.5,0.5
1.0,0.5
2.0,1.0
2.0,1.0
1.5,0.5
1.0,0.5
1.5,0.5
1.5,1.0
2.0,1.0
1.0,0.5
1.5,1.0
1.0,0.5
1.0,0.5
2.0,1.0
2.0,0.5
2.0,0.5
1.0,4.5
2.5,1.0
1.0,1.0
5.5,5.0
2.5,1.0
1.5,4.0
1.0,3.0
6.5,5.0
3.0,1.0
4.0,1.5
5.5,7.5
2.0,9.0
2.5,0.5
2.0,0.5
2.0,1.5
1.5,0.5
12.0,10.0
1.5,2.0
4.5,4.0
2.0,3.5
10.0,9.5
4.5,8.0
9.0,14.0
1.0,9.0
14.5,14.5
1.0,3.0
1.5,4.0
4.5,4.5
1.0,6.0
10.5,11.0
0.5,2.5
0.5,1.0
7.0,13.5
6.0,5.5
27.0,28.0
4.0,7.0
7.5,17.0
0.5,12.5
9.5,11.5
6.5,7.0
3.0,2.5
0.5,0.5
7.5,7.5
0.5,1.5
0.5,1.0
2.0,1.5
1.0,1.0
1.0,1.0
0.5,0.5
0.5,1.5
0.5,0.5
1.0,1.0
1.0,4.5
0.5,0.5
1.0,0.5
1.0,1.0
1.0,0.5
0.5,0.5
2.0,2.0
0.5,0.5
7.5,5.0
2.0,3.5
1.5,2.0
0.5,2.0
5.0,11.5
2.0,2.5
3.0,3.5
3.0,4.5
2.0,6.5
1.5,1.0
10.5,9.5
5.5,3.5
1.0,2.0
7.0,6.5
1.0,2.0
20.0,16.0
4.0,5.0
4.5,9.5
3.0,3.0
4.0,15.0
14.5,11.0
0.5,1.5
8.5,6.0
4.0,2.0
4.0,4.0
1.0,1.5
2.5,0.5
1.0,7.5
16.5,15.5
2.5,1.5
3.5,4.0
4.0,3.5
11.0,8.0
2.0,1.0
1.0,6.5
4.5,0.5
2.0,2.5
6.0,12.0
0.5,0.5
30.0,30.5
2.0,2.0
2.5,2.0
6.5,6.5
4.0,5.5
2.5,3.0
2.0,2.0
2.0,2.5
2.5,2.5
3.0,3.0
3.5,23.0
2.5,2.5
2.5,2.5
1.5,2.0
2.5,3.5
2.0,2.0
4.5,5.0
2.5,3.0
2.0,2.0
2.5,3.0
3.0,3.5
0.5,3.5
2.0,1.0
1.5,0.5
3.0,4.5
0.5,1.5
1.0,0.5
2.0,1.5
5.5,3.0
8.0,5.5
1.5,1.0
3.0,2.5
2.5,1.0
2.0,1.0
13.0,13.5
39.0,38.5
7.5,10.0
1.5,1.5
4.5,3.5
4.0,2.5
0.5,0.5
0.5,9.0
5.0,11.0
3.0,7.5
0.5,13.5
1.5,7.0
1.0,26.5
4.0,11.5
2.5,12.5
4.5,8.0
1.0,1.0
5.5,15.0
12.0,24.0
4.0,11.5
9.5,38.0
3.0,8.5
11.0,10.5
2.0,7.5
6.0,14.0
1.0,1.5
2.0,14.0
1.5,1.0
5.5,1.0
8.0,3.0
3.0,21.0
11.5,10.0
3.0,0.5
1.0,1.0
4.0,2.0
2.0,11.5
8.0,12.5
0.5,1.0
1.5,1.0
2.0,1.5
2.5,8.5
2.5,9.0
2.0,4.0
3.0,2.5
8.0,8.5
1.0,0.5
2.5,1.0
2.0,18.5
2.0,7.0
1.0,2.0
1.0,0.5
2.5,6.0
1.5,1.5
2.0,1.0
3.0,1.0
4.0,6.0
0.5,1.0
0.5,2.5
1.5,3.0
3.0,2.0
1.5,1.5
5.0,4.0
0.5,26.5
1.0,57.0
3.0,2.5
0.5,9.0
1.0,0.5
2.0,1.5
2.5,1.0
1.0,1.5
2.5,1.0
0.5,12.0
1.5,0.5
2.0,1.5
2.0,1.5
7.5,1.0
4.0,1.0
2.5,4.5
0.5,0.5
1.0,48.0
1.5,0.5
5.5,0.5
0.5,0.5
1.5,1.5
1.0,1.0
4.0,3.0
2.5,2.0
8.0,23.0
4.0,1.5
23.5,20.5
2.0,1.5
4.0,6.0
9.0,6.5
6.5,7.0
6.0,10.5
4.5,6.5
3.5,2.5
2.0,0.5
5.0,6.0
7.0,4.0
2.0,1.0
2.5,3.5
1.0,9.0
40.0,59.0
24.5,25.5
16.5,18.0
3.5,10.0
3.0,3.5
3.5,6.0
3.0,5.5
2.5,3.0
2.5,7.5
5.5,8.0
0.5,2.0
2.5,4.0
4.5,12.0
1.5,2.5
2.0,7.0
2.5,4.5
2.5,3.0
2.5,4.0
2.5,5.5
2.5,5.5
1.0,1.5
3.5,5.0
0.5,3.5
1.0,2.5
3.0,7.5
1.5,1.0
9.5,9.5
3.0,13.0
1.5,1.0
13.0,13.0
7.0,6.5
1.0,1.0
8.5,8.0
1.0,1.0
2.5,4.0
7.5,7.5
4.0,4.0
3.5,3.5
7.0,6.0
18.0,21.5
1.0,0.5
6.0,5.5
2.0,1.0
0.5,2.0
2.0,1.0
6.0,3.5
5.5,2.5
12.5,6.0
6.0,2.0
2.5,1.0
4.5,2.0
5.5,3.0
7.5,1.5
61.0,58.5
14.0,31.0
21.0,14.0
9.0,7.0
3.5,2.5
6.5,5.0
4.5,3.0
4.0,10.0
6.0,4.5
3.0,1.5
3.5,2.5
0.5,1.0
5.0,2.0
0.5,10.0
4.0,2.0
1.0,1.5
0.5,0.5
1.0,1.5
2.5,1.5
1.5,2.5
1.0,1.5
0.5,3.0
0.5,0.5
3.5,1.0
3.0,1.0
3.5,1.0
1.0,2.0
5.5,1.5
0.5,2.5
3.0,0.5
3.0,3.0
2.5,2.0
6.0,7.5
5.5,4.0
4.0,4.5
3.5,2.0
4.0,3.5
9.5,8.0
2.0,0.5
17.0,18.0
3.0,1.5
25.0,24.0
1.5,1.0
3.5,4.5
10.0,11.5
0.5,7.0
4.5,7.0
5.0,4.0
17.5,15.5
6.5,6.5
1.5,1.0
0.5,3.0
2.0,2.5
2.0,7.0
0.5,4.5
1.0,8.0
1.5,14.0
2.0,1.0
2.0,1.0
2.5,5.0
1.5,2.5
2.0,22.0
3.5,5.5
4.0,1.0
1.5,4.0
2.0,3.5
2.5,2.0
3.0,3.5
4.5,1.0
3.5,2.0
2.0,7.5
1.0,2.0
6.5,7.0
7.0,3.5
5.5,5.5
3.5,1.5
2.0,4.5
1.0,1.0
3.5,2.0
0.5,0.5
5.5,0.5
3.5,1.5
14.5,9.5
5.0,0.5
7.0,0.5
0.5,1.0
8.5,12.5
1.0,4.0
4.0,3.0
4.0,2.5
19.0,14.0
1.0,5.0
2.5,7.0
0.5,10.0
1.0,25.5
1.0,1.0
0.5,17.0
0.5,6.0
1.0,14.5
2.0,1.0
4.0,3.0
0.5,3.0
1.0,3.0
1.0,5.0
4.0,5.0
1.5,4.0
1.0,1.5
1.0,2.5
0.5,6.5
3.5,0.5
1.5,8.0
4.5,24.5
0.5,3.0
1.5,4.0
4.0,5.0
7.0,8.5
2.0,3.5
2.0,3.0
0.5,6.5
14.5,15.5
1.0,1.5
21.5,21.0
5.5,5.0
73.5,75.0
22.0,24.5
8.5,11.0
0.5,0.5
3.5,6.5
3.5,5.0
1.5,8.0
2.0,2.0
2.5,4.0
0.5,3.5
0.5,3.0
3.0,1.0
3.5,2.5
2.5,9.5
2.0,0.5
0.5,2.0
2.0,3.5
1.5,3.0
2.5,2.0
1.0,6.0
1.5,4.0
2.0,7.5
0.5,4.0
2.0,2.0
3.0,2.0
3.0,2.0
1.5,2.0
2.0,5.5
8.0,10.5
5.0,5.5
8.5,6.5
9.0,7.5
6.0,9.5
4.5,11.0
6.5,20.5
5.5,33.0
4.0,4.0
2.5,7.0
2.0,11.5
5.5,18.0
18.5,22.0
19.0,25.5
3.0,4.0
5.5,11.0
5.5,8.0
11.0,13.0
13.5,26.0
3.0,6.0
1.0,7.5
2.5,7.0
0.5,6.5
1.0,3.5
1.5,4.0
1.0,13.0
0.5,5.5
0.5,9.5
0.5,9.0
2.5,10.5
0.5,8.5
0.5,4.0
1.0,2.5
0.5,4.5
1.0,8.5
1.0,5.0
1.5,16.5
2.0,29.5
1.0,3.0
2.5,10.0
1.5,1.0
0.5,5.0
1.0,5.5
4.5,3.5
2.0,10.5
0.5,14.5
0.5,5.0
2.0,1.5
1.5,3.5
0.5,1.0
0.5,1.5
1.0,2.0
0.5,6.5
2.0,4.0
1.0,6.0
0.5,3.5
3.5,2.5
0.5,7.0
0.5,1.0
0.5,16.0
1.0,2.0
1.0,3.0
3.0,1.0
0.5,0.5
2.0,1.0
1.0,9.5
1.0,9.5
2.0,2.0
2.0,2.0
1.0,9.5
1.0,2.0
2.5,2.0
2.0,2.5
1.0,0.5
1.0,7.5
0.5,0.5
1.0,6.0
1.5,6.0
0.5,1.5
1.5,9.5
1.0,0.5
0.5,1.0
0.5,0.5
0.5,0.5
0.5,0.5
0.5,1.5
0.5,1.0
1.0,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,2.5
0.5,1.5
0.5,1.0
1.0,0.5
0.5,0.5
0.5,1.0
1.0,0.5
0.5,1.0
0.5,2.0
1.0,2.0
0.5,0.5
9.0,9.5
0.5,1.5
0.5,0.5
1.0,3.0
6.0,6.5
4.5,5.0
0.5,0.5
5.0,5.0
0.5,1.0
0.5,1.0
1.0,1.0
1.0,1.0
0.5,0.5
6.5,7.0
0.5,2.0
1.5,1.0
1.0,1.0
0.5,4.0
1.0,0.5
1.0,0.5
1.0,1.0
1.0,0.5
2.0,5.0
2.0,0.5
0.5,0.5
1.5,1.5
1.0,0.5
1.0,0.5
1.0,2.0
1.0,1.5
1.0,0.5
1.0,0.5
1.5,1.5
0.5,1.5
0.5,5.0
1.5,0.5
1.0,2.0
3.0,2.5
4.0,3.0
3.5,2.5
4.0,3.5
4.5,4.0
3.0,2.5
4.0,4.0
5.0,4.0
3.5,2.0
2.0,0.5
3.5,2.5
4.0,4.0
2.0,1.0
4.0,3.5
5.5,5.5
2.5,2.0
3.5,2.5
2.5,1.5
4.0,3.0
4.5,3.0
0.5,0.5
1.0,1.0
2.5,2.0
1.0,1.0
1.0,2.0
1.0,0.5
3.5,3.0
2.0,1.5
1.0,1.0
1.0,0.5
1.0,2.0
2.5,2.0
2.5,2.0
3.5,2.5
2.0,1.5
1.0,1.0
1.5,2.0
1.0,1.0
2.5,2.0
24.0,23.5
6.5,9.0
8.5,7.5
2.5,5.0
1.0,1.0
20.0,20.5
3.5,6.5
14.0,12.5
3.0,9.5
6.5,5.0
4.0,4.5
1.0,1.0
3.5,3.0
1.0,4.0
3.0,4.0
3.0,3.5
6.5,11.5
2.0,2.0
3.5,10.0
6.5,5.5
13.0,18.0
13.0,6.5
0.5,2.0
2.0,0.5
3.0,0.5
0.5,7.0
1.5,1.0
2.0,2.0
0.5,1.0
7.0,3.0
3.0,4.5
1.0,3.0
1.5,2.0
1.5,4.5
2.0,0.5
4.5,3.0
0.5,0.5
2.0,3.0
2.0,1.0
1.0,4.5
1.5,1.0
0.5,1.0
0.5,0.5
0.5,5.5
0.5,1.0
0.5,1.0
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,1.5
0.5,2.0
1.0,1.5
0.5,0.5
0.5,1.0
0.5,1.5
1.5,1.0
1.0,0.5
0.5,1.0
0.5,0.5
0.5,1.5
1.5,1.0
13.5,13.5
2.5,2.5
2.0,1.5
2.0,1.5
1.5,1.5
1.0,2.5
1.5,0.5
1.5,1.0
1.0,0.5
5.0,4.0
1.0,3.0
3.5,2.5
1.5,2.5
1.5,2.5
5.5,4.5
11.5,12.0
1.5,2.0
1.5,1.5
0.5,1.5
0.5,0.5
1.0,0.5
1.5,1.0
1.0,0.5
2.0,2.5
1.0,0.5
0.5,1.0
1.0,1.5
