station,mean_delay,std_dev
CASTELBOLOGNESE,1.199304750869062,8.47267476146203
GODO,3.3715846994535523,3.9670568161575086
VAREDO,1.935483870967742,2.9769725546934174
PARMA,6.634883073496654,16.628154327307204
VIBO MARINA,29.5,0.0
MAROTTA MONDOLFO,2.9549125168236876,7.347344861139202
ROSARNO,21.0,0.0
PONTENURE,2.0350194552529155,9.793808795472593
GAMBETTOLA,12.625,13.571898488105067
FORLIMPOPOLI,16.25,15.202795795510772
BRINDISI,1.5261627906976765,7.682180925269782
CHIARI,3.0483870967741935,4.448510684693019
BAGNARA,-1.5,0.0
FIRENZE CAMPO MARTE,509.5,0.0
RICCIONE,5.4775104602510485,17.025843198588653
SENIGALLIA,5.980938416422287,14.45528831849989
SCILLA,0.0,0.0
MILANO CENTRALE,6.54057971014493,15.424153945453856
AMANTEA,30.0,0.0
OSTUNI,3.9731543624161114,11.780478761393056
ANCONA TORRETTE,0.5,0.7071067811865476
PESCARA,9.67257264351524,14.073634334343458
LODI,4.441713483146068,11.520389276965991
GENOVA BRIGNOLE,1.4354838709677415,6.316827359841861
RUSSI,2.4054054054054066,3.159547717304252
GENOVA P.PRINCIPE,0.6209677419354838,7.117015842543561
VILLA SAN GIOVANNI,0.0,0.0
DESENZANO,2.370967741935484,3.24028738935166
TARANTO,3.0017730496453887,5.160674289536923
ANZOLA,3.0609865470851987,6.212019457502814
ROMANO,3.2419354838709675,4.629382550157087
CAMNAGO LENTATE,0.7741935483870966,1.1750085792411569
CERVIA-MILANO MARITTIMA,1.3142076502732234,5.311289582913694
M.N. AFFORI,3.3870967741935485,3.0624327949615338
LECCE,2.3241061130334466,6.156159365376605
CESENATICO,-1.1939890710382508,4.436897854504707
MILANO BOVISA,2.6129032258064515,3.0075174630120736
VASTO S.SALVO,13.112318840579707,20.67651600951571
S.ILARIO,2.651969981238278,7.64087604439822
MOLFETTA,3.9856459330143545,17.02359179449426
NAPOLI CENTRALE,6.094095940959411,13.460759231449666
CASALPUSTERLENGO,2.602380952380951,7.7199230649077375
MILANO PORTA GARIBALDI,468.0,0.0
M N CADORNA,2.7586206896551726,3.3344004859922305
S.NICOLO',3.871052631578947,5.574455528718453
GIOIA DEL COLLE,3.0212765957446797,12.506350321516825
BELLARIA,3.4863387978142075,2.1947938487319285
FIDENZA,4.58159564823209,11.562201156931202
FOLIGNO,-1.5107142857142868,12.585601550684823
ANCONA,7.270794246404004,12.85785223699746
FORMIA-GAETA,7.9123134328358224,20.23686417856142
FIRENZE S.M.N.,9.196629213483144,9.287888612183002
SANTARCANGELO DI ROMAGNA,3.9703087885985746,4.076465222953136
CESANO MADERNO,1.838709677419355,2.6720376019503465
FANO,6.0107737512242885,14.877238882052794
CESENA,4.81342729970326,16.223346640510705
ARQUATA SCRIVIA,3.4679999999999995,6.615519388089914
LAMEZIA TERME CENTRALE,28.5,0.0
RUBIERA,3.0135802469135804,6.328918613170021
SAVIGNANO SUL RUBICONE,12.875,13.14411872826996
CASTEL S.PIETRO TERME,2.1253665689149566,8.319477275736423
SOLAROLO,2.518181818181819,3.5613984604642703
VOGHERA,3.7628865979381443,10.83450465440134
VERONA PORTA NUOVA,2.0,2.5099800796022267
FOGGIA,2.058566433566428,11.45668078463423
ORTE,13.162878787878789,26.48659867842211
LATINA,8.464419475655438,33.99136953626901
AVERSA,6.0966542750929404,13.446964228899839
BOLOGNA C.LE/AV,10.41025641025641,10.60900300072376
TRANI,4.457671957671957,16.708015240440577
TERNI,3.2517730496453883,11.305438658557717
BARI CENTRALE,1.274818401937037,10.55984080134304
FIORENZUOLA,2.334176503653739,8.055805153055275
S.BENEDETTO DEL TRONTO,11.410714285714286,15.035992566187286
FORLI`,5.656752411575569,16.631867396571565
MILANO ROGOREDO,4.629585087191822,12.681707559582852
SAPRI,23.5,0.0
FIRENZE RIFREDI,11.59143968871595,28.967829756642534
STRADELLA,3.9056122448979593,5.8421561819248815
OZZANO DELL'EMILIA,12.0,11.313708498984761
TREVIGLIO,1.4838709677419353,5.034024021542047
BISCEGLIE,5.306372549019605,16.988419949852396
FERRARA,2.4007352941176476,7.939311438783869
PADOVA,-1.7666666666666675,12.94791517823183
TERMOLI,6.956618962432919,13.581912573975869
PALMI,-2.0,0.0
TORINO P.NUOVA,11.89090909090909,15.95006412070326
AREZZO,9.931297709923665,24.91600936039774
MILANO LAMBRATE,4.176886792452831,6.671156447989762
PESCHIERA DEL GARDA,2.3225806451612905,3.094479996964417
MILANO NORD DOMODOSSOLA,2.6774193548387095,3.4096636859979172
FALCONARA MARITTIMA,2.0644712430426697,6.039468549535203
CATTOLICA S.GIOVANNI GABICCE,4.295480225988698,8.513330106561401
S.PIETRO IN CASALE,2.963235294117647,7.250448862973722
ALESSANDRIA,12.692307692307692,16.464569574758137
REGGIO EMILIA,6.712162530679019,16.218766934004503
BAGNACAVALLO,2.4199395770392758,3.518620769214854
SPOLETO,0.7071428571428583,12.097919690705272
PIOLTELLO LIMITO,2.275862068965517,4.4190864579857125
BRESCIA,1.016129032258065,3.6730638232220207
