S.PIETRO IN CASALE,BOLOGNA C.LE
10.0,10.0
4.5,2.0
19.5,22.0
4.0,4.0
5.0,5.5
3.0,2.0
3.5,2.0
1.0,-1.5
1.5,-0.5
2.5,0.0
1.0,2.0
6.0,1.5
2.0,-0.5
1.5,3.5
1.0,-2.0
0.5,-1.5
2.5,1.0
1.0,-1.0
1.0,-2.0
2.0,1.5
4.0,0.5
3.5,2.5
1.5,0.5
1.0,3.0
40.5,39.0
1.5,1.5
1.5,-0.5
4.5,0.5
1.0,3.5
1.5,2.5
2.0,1.0
0.5,-1.0
1.0,-1.0
0.0,-2.0
7.5,6.0
3.5,2.5
3.0,2.0
6.0,1.0
3.0,1.0
1.5,2.0
3.5,1.0
4.0,1.5
4.5,4.0
3.5,3.5
4.5,9.0
13.0,13.5
4.5,4.0
2.5,2.5
4.0,4.0
2.0,3.0
2.0,0.0
2.5,1.0
1.5,-0.5
2.0,0.0
1.0,-0.5
3.5,4.0
5.5,1.5
1.5,4.0
1.0,-2.0
2.0,0.5
3.5,1.5
2.0,-1.5
4.0,-0.5
5.0,3.5
1.5,3.0
1.5,-0.5
1.5,1.5
1.0,0.0
6.0,4.5
2.5,0.5
6.0,1.0
3.0,1.0
1.0,0.0
1.5,-2.0
1.5,-0.5
1.0,29.0
1.5,2.0
1.0,-1.0
0.5,0.0
33.0,47.0
2.0,3.0
4.5,8.0
2.0,2.5
4.0,64.0
3.5,2.0
0.5,-1.0
7.0,2.5
39.0,45.0
12.0,14.5
12.0,51.0
2.0,34.0
2.0,1.5
3.5,3.0
3.0,1.5
3.0,1.0
37.0,34.5
6.5,6.5
2.5,3.0
4.5,5.0
2.5,1.0
1.5,1.0
5.0,4.5
1.5,-0.5
4.5,0.5
2.0,2.5
0.5,9.5
2.0,-1.0
0.5,-1.5
3.5,7.0
7.0,6.0
3.0,1.0
6.0,2.0
10.0,8.5
3.0,2.0
3.0,1.5
2.5,2.0
3.0,2.5
3.5,3.0
4.0,1.0
1.5,2.5
2.5,-2.0
1.5,5.0
1.0,-1.0
2.0,0.5
4.5,4.0
1.5,-1.5
1.0,2.5
1.5,0.5
1.5,-4.0
1.0,0.0
1.0,-1.5
4.5,3.0
2.0,0.5
4.0,15.0
6.5,4.0
56.0,79.5
3.0,1.5
30.5,30.5
16.0,12.5
10.0,6.0
10.0,20.5
4.0,3.5
2.5,-0.5
3.0,1.5
5.0,3.0
1.0,-1.0
12.0,7.0
4.0,-1.0
11.0,9.0
7.0,5.0
1.0,-0.5
1.5,-0.5
1.0,0.5
3.0,2.5
2.0,-2.0
0.0,-3.0
1.5,1.5
4.5,0.5
1.5,0.5
1.0,5.5
3.0,3.0
5.0,5.5
3.5,1.0
3.0,2.5
4.0,1.0
7.5,7.0
4.0,6.5
2.5,2.5
2.0,0.0
12.0,21.5
1.0,5.0
5.0,1.5
3.0,1.5
5.0,1.5
3.0,1.0
2.0,1.5
18.5,17.0
0.0,-2.0
10.5,9.0
2.0,0.5
3.0,0.0
16.5,18.0
16.0,18.5
7.0,6.0
2.0,1.0
2.0,0.5
0.5,1.0
1.0,3.5
5.0,5.0
5.5,3.5
6.0,0.5
2.5,5.0
2.0,2.5
2.5,5.5
6.0,5.0
3.0,4.0
7.5,5.5
4.0,4.0
2.0,-2.5
3.0,3.5
5.5,4.5
2.0,1.5
1.0,2.0
0.0,1.0
6.0,4.0
2.0,0.0
3.5,0.0
1.0,1.5
-1.0,2.0
0.5,-2.0
0.0,-1.0
0.5,8.0
0.5,-1.5
2.5,0.5
0.0,-4.5
3.0,2.0
0.5,0.0
0.5,-1.0
0.0,-2.0
3.0,0.5
0.0,-2.5
4.0,19.5
3.5,3.0
0.0,3.0
8.0,8.0
0.0,-3.0
3.0,5.5
2.0,0.0
4.0,2.5
3.5,1.5
4.0,0.0
11.0,15.5
2.5,5.0
2.5,2.5
11.5,8.5
7.5,6.0
3.5,2.0
1.0,2.0
1.5,1.0
5.0,0.0
5.0,4.0
1.0,0.0
1.0,-0.5
1.0,-0.5
2.0,1.5
7.5,6.5
5.0,3.5
0.5,-2.0
8.0,6.0
1.5,-1.0
3.0,3.0
0.0,-2.5
2.0,0.5
1.5,0.5
0.0,-3.5
3.5,1.0
1.5,0.0
1.0,3.0
1.0,-0.5
3.5,3.5
2.0,6.5
3.5,15.5
4.0,5.5
3.5,41.0
14.0,14.5
10.5,10.0
3.0,2.5
8.0,8.5
-0.5,-1.5
2.5,2.0
1.0,-1.0
4.0,2.0
3.0,3.5
4.5,4.0
2.0,1.0
2.5,-1.0
8.0,8.0
5.0,11.0
2.0,3.0
1.0,-0.5
6.0,5.5
2.0,1.5
3.0,-0.5
12.5,7.5
2.0,0.0
5.5,6.0
3.5,3.0
1.5,0.5
1.0,0.5
8.0,6.5
1.5,0.5
0.0,2.5
11.0,15.5
1.5,0.5
0.0,-0.5
39.5,44.5
0.5,-1.0
0.5,-1.0
3.5,3.5
7.0,2.5
1.0,-1.0
0.5,1.0
2.0,1.0
1.0,1.0
36.0,33.0
0.0,-3.0
1.0,-0.5
1.5,-1.0
0.0,-2.5
1.0,-2.0
1.5,-1.0
0.0,-1.0
1.0,0.5
0.0,-0.5
8.0,8.5
2.5,2.5
3.0,0.5
5.0,0.5
6.5,6.0
5.5,10.5
2.5,2.5
3.0,3.0
1.5,0.0
20.0,18.5
4.5,3.0
13.5,10.0
4.5,8.0
4.0,3.0
3.0,1.0
3.0,1.0
6.5,4.0
11.0,21.5
1.5,-0.5
2.0,4.0
6.5,1.5
1.5,0.0
3.0,1.0
1.0,-2.0
0.5,3.5
6.0,2.0
0.5,1.5
1.5,1.0
2.0,-1.5
0.5,-1.0
5.0,0.5
7.0,5.5
1.0,5.5
1.0,-1.0
1.5,0.5
2.5,1.5
0.5,-1.0
3.0,5.5
8.5,5.0
3.5,2.5
4.5,3.5
2.0,-1.0
2.0,6.5
2.5,1.0
3.0,2.5
2.0,1.5
2.5,0.0
2.5,1.5
3.5,2.0
8.0,7.0
1.0,-1.0
2.0,0.0
12.0,10.5
5.0,2.0
2.5,1.0
2.0,2.0
11.0,10.0
4.0,6.0
7.5,8.5
4.5,2.0
10.5,8.5
3.5,4.5
6.0,4.5
6.5,6.0
2.0,7.5
4.5,2.5
2.5,1.0
7.0,6.5
6.5,7.0
15.0,13.5
7.0,4.0
6.5,5.0
6.5,6.0
2.0,1.5
1.0,-0.5
2.0,3.5
0.5,0.5
3.5,2.5
23.0,22.5
15.5,20.0
0.5,1.0
3.5,5.0
2.5,3.5
0.5,0.0
3.0,1.0
7.0,5.0
3.5,2.0
16.0,14.0
4.0,-0.5
15.0,20.0
2.5,3.5
3.5,1.0
4.0,2.5
1.5,1.0
3.0,0.5
1.5,-1.5
1.5,1.0
1.5,2.5
2.0,-2.0
1.5,-0.5
2.5,1.0
4.5,3.0
2.5,2.5
5.0,2.5
14.5,9.5
2.5,1.0
5.5,3.5
1.0,-0.5
2.5,1.5
4.0,2.5
1.5,0.0
2.5,1.5
3.0,1.0
11.5,7.5
5.5,2.5
8.5,7.0
3.0,0.0
41.0,41.0
3.5,3.5
1.5,1.5
6.0,4.0
3.5,3.5
6.0,3.5
2.5,0.5
6.0,4.0
2.0,1.5
1.5,1.0
2.5,2.0
1.0,-0.5
1.5,-1.0
1.5,0.0
1.5,0.0
2.5,1.5
9.5,11.5
0.0,-2.5
1.0,-1.0
1.0,-0.5
1.0,0.0
1.5,0.0
1.0,4.0
4.0,1.0
2.5,0.0
1.0,-2.0
2.5,1.5
1.0,0.5
3.0,-1.5
1.0,-0.5
3.0,1.5
2.0,0.5
21.5,19.0
3.0,3.0
0.5,-2.0
105.5,107.0
67.5,74.5
138.5,155.0
61.5,70.0
43.0,43.5
29.5,29.5
2.5,1.0
7.0,5.5
2.0,-1.0
7.0,6.5
10.5,6.5
2.0,1.5
2.0,0.5
3.0,2.0
3.5,2.5
2.5,2.0
2.5,0.5
3.5,0.0
27.0,31.0
3.0,4.5
4.0,2.0
2.5,0.0
1.5,2.5
8.0,5.5
7.5,8.0
3.5,1.0
3.0,3.0
1.5,1.0
4.5,4.0
0.0,-1.0
5.5,3.5
-0.5,-1.0
3.0,3.0
0.0,1.5
1.0,2.5
0.0,-1.5
-0.5,-0.5
2.0,1.0
0.5,-1.5
1.0,-3.5
2.0,1.0
-0.5,0.5
0.0,-2.0
0.5,-1.5
10.5,8.5
2.0,2.5
2.0,-2.0
4.0,1.0
3.0,2.5
13.0,11.0
5.0,4.0
3.0,2.5
2.5,2.5
0.5,-1.5
1.0,-3.0
2.5,1.0
4.0,-0.5
1.5,0.0
2.5,3.5
1.5,1.0
2.0,-0.5
1.0,0.0
3.0,1.0
11.0,7.5
1.0,0.0
0.5,-2.5
1.0,-1.0
2.5,1.0
4.0,3.0
0.5,-2.5
1.5,1.5
2.0,0.0
2.0,0.0
1.0,-1.0
2.0,0.5
1.5,1.5
1.0,0.0
4.0,2.0
1.0,0.0
4.0,3.0
4.5,1.5
12.5,12.0
1.5,5.5
6.5,3.5
1.0,1.0
0.5,-0.5
40.0,44.0
2.5,1.5
0.0,-1.5
10.5,8.0
7.5,6.0
0.0,-1.5
2.0,0.0
1.5,2.0
6.5,5.0
3.0,3.5
9.5,5.5
7.0,5.0
3.5,3.5
6.5,5.0
4.5,5.0
2.5,1.0
6.0,24.0
1.5,-1.0
4.5,0.0
32.0,29.0
3.5,1.5
1.0,2.0
0.5,-0.5
1.0,-1.0
2.0,1.0
2.0,1.0
2.0,-1.0
2.5,1.5
6.5,2.5
2.5,1.5
2.0,3.5
1.5,2.5
2.0,1.0
0.5,-1.5
2.5,1.5
3.0,0.0
0.5,-0.5
8.0,4.0
3.0,2.0
0.0,1.0
1.5,2.5
0.5,-1.5
2.5,2.0
4.0,3.5
2.0,-1.5
9.5,9.5
3.0,-0.5
6.5,4.5
4.0,3.0
1.0,0.0
2.0,0.5
1.5,0.0
1.5,0.0
1.5,-2.0
11.5,10.0
3.0,2.0
3.0,-1.5
1.5,1.5
1.5,-0.5
1.5,1.5
7.5,6.5
9.0,7.0
6.5,2.5
2.0,3.0
3.0,3.0
2.5,3.0
0.5,-0.5
1.0,-0.5
4.0,2.5
0.5,-1.5
1.5,1.0
3.0,1.5
0.0,-1.5
2.5,1.5
0.5,1.5
3.5,2.0
3.0,1.5
4.5,4.5
3.0,1.5
16.5,16.0
4.0,1.5
5.5,5.0
4.5,1.5
4.0,2.0
1.5,0.0
6.5,5.0
1.0,-0.5
8.5,5.0
67.5,68.0
0.5,2.0
2.5,0.0
3.0,2.0
6.0,4.5
1.0,-0.5
2.5,-1.5
2.0,-2.0
1.5,0.5
4.0,2.0
1.5,0.5
1.0,0.0
1.5,0.0
0.0,-3.0
0.5,-1.0
2.0,2.5
1.5,3.5
4.0,3.0
0.5,4.0
1.0,2.0
1.5,-0.5
0.5,0.0
1.0,0.5
1.0,0.0
1.0,1.0
0.0,3.0
0.0,-1.5
2.0,0.0
0.0,-0.5
18.0,16.5
2.5,7.0
2.0,-1.5
3.5,0.0
8.5,7.0
1.5,1.0
2.0,1.0
0.0,-3.0
3.0,0.5
2.0,1.5
3.5,0.0
1.0,-0.5
23.0,20.0
1.0,0.5
4.0,2.5
0.5,0.0
0.5,1.0
3.0,2.0
3.5,2.5
6.5,4.5
1.0,-0.5
10.0,7.0
0.5,-1.0
1.0,4.0
10.5,9.5
4.0,4.5
8.5,6.5
5.0,3.0
2.5,1.0
2.0,-1.0
2.5,4.5
5.5,2.0
2.0,1.5
1.5,1.0
2.0,0.5
5.0,2.5
1.5,-1.5
2.5,0.0
3.0,2.0
1.5,1.5
2.5,1.0
1.5,0.0
8.5,9.0
3.0,4.0
7.0,4.5
2.5,5.5
8.0,4.0
9.5,8.0
2.5,1.0
3.0,3.0
2.5,2.0
4.5,3.0
3.0,7.5
2.5,1.5
3.5,3.5
12.5,10.0
3.0,3.0
2.5,-0.5
2.0,0.0
2.5,1.0
1.0,0.0
3.0,-0.5
2.5,2.5
1.0,-0.5
1.5,0.0
5.5,3.5
2.5,6.0
1.0,-1.0
3.5,4.0
3.0,1.5
6.0,4.5
3.0,2.5
7.5,4.0
9.0,7.5
5.5,4.5
2.0,2.5
3.5,1.5
9.0,8.5
2.0,1.0
4.5,1.0
6.0,2.5
14.0,15.0
4.5,8.5
1.5,1.5
1.5,0.5
2.5,1.5
6.5,4.0
4.0,-0.5
3.5,1.5
4.0,-0.5
2.0,0.5
1.5,-0.5
3.5,3.5
3.5,3.5
2.0,0.0
1.0,-0.5
2.0,2.0
1.5,0.5
5.0,7.5
3.0,3.5
4.0,4.0
5.5,4.0
3.0,1.0
4.0,3.0
2.0,0.0
1.0,-1.5
2.0,5.5
5.5,1.5
4.0,1.0
2.5,0.0
0.0,-1.5
2.5,1.5
0.0,-1.5
0.0,-0.5
1.0,1.5
0.0,-1.0
0.5,-1.0
-0.5,1.0
1.0,-0.5
7.5,6.5
1.5,0.0
7.5,4.5
11.0,19.0
1.5,-0.5
1.0,0.0
4.5,2.5
2.5,3.0
7.5,8.0
9.0,6.5
6.0,4.0
2.5,4.0
6.0,5.0
0.5,1.0
1.5,7.0
4.5,4.0
5.5,5.0
2.0,-1.0
8.0,5.0
2.0,2.0
4.0,2.5
5.5,6.0
2.5,4.0
2.0,-0.5
4.5,4.5
2.0,0.5
4.5,3.5
2.0,3.0
6.5,1.0
3.0,1.0
0.5,-1.5
3.5,4.0
2.5,1.5
7.5,5.0
3.0,-1.0
4.5,22.0
2.0,2.0
3.5,3.5
1.5,0.0
2.0,14.0
1.0,0.0
2.0,-0.5
5.5,6.5
3.5,3.0
0.5,-2.0
4.5,3.5
4.5,2.5
0.5,-2.5
7.5,7.0
0.5,1.0
8.5,8.5
9.5,7.5
5.0,4.0
4.0,1.0
2.5,4.5
0.0,-1.0
1.5,-1.5
2.5,2.5
1.5,0.5
2.5,-2.0
1.5,0.5
2.0,0.5
1.5,-0.5
1.0,0.5
4.0,2.0
3.5,2.5
6.5,2.0
8.5,5.0
3.0,2.5
3.5,2.5
1.5,1.0
0.5,-0.5
1.5,0.0
4.5,4.0
1.0,-3.5
1.5,0.0
0.5,3.5
3.5,0.0
3.0,2.5
1.5,1.5
3.0,3.5
2.5,2.0
8.5,5.0
4.0,3.0
9.5,5.5
10.5,9.5
5.0,4.0
1.5,1.0
1.5,0.0
12.0,12.5
35.5,44.0
61.5,68.5
26.0,35.0
18.5,22.5
7.0,6.0
0.5,5.5
-1.0,-3.0
0.0,-1.5
1.0,-0.5
16.5,17.0
1.0,-0.5
0.0,-0.5
1.0,-1.5
3.5,4.5
6.5,4.5
0.5,0.5
7.0,3.5
3.5,-1.5
5.5,4.0
1.0,5.5
1.5,1.0
2.0,0.0
2.5,3.0
2.5,1.5
2.0,-1.0
4.5,3.0
2.5,4.0
2.5,4.0
1.0,0.0
1.0,-1.0
7.0,4.5
3.0,1.5
2.5,3.0
2.0,-1.5
4.5,2.0
0.5,1.0
2.0,0.5
0.0,-2.0
3.5,3.5
1.0,0.0
1.0,-2.5
2.0,0.0
15.0,22.0
7.0,8.0
15.0,14.5
1.0,-1.0
1.5,0.5
2.5,1.5
2.0,-1.0
2.0,1.5
2.0,2.0
2.5,-1.0
1.5,2.5
1.0,0.0
6.0,3.0
1.5,0.0
-1.0,-1.5
5.0,3.0
37.5,33.0
1.5,0.0
0.5,2.0
2.0,0.5
0.5,-0.5
0.5,0.0
3.5,1.5
0.0,-1.0
2.5,3.5
1.0,-2.5
0.5,-2.0
2.5,1.0
12.0,10.5
1.5,2.5
3.5,0.0
5.0,1.5
2.0,1.5
2.0,1.5
4.0,5.5
1.0,-1.0
1.5,-2.0
2.0,1.0
1.5,-2.5
0.5,0.0
0.5,4.0
1.0,-0.5
0.0,-2.0
0.0,-2.0
5.5,6.0
0.5,7.0
2.0,-1.5
6.0,5.5
2.0,1.0
0.5,-1.0
0.0,-1.0
9.5,11.5
0.5,-1.0
4.0,1.0
2.0,0.0
1.5,0.0
1.0,2.0
2.5,1.0
13.5,16.0
1.5,0.0
7.5,4.5
3.5,2.5
6.0,0.5
1.5,-0.5
1.5,1.5
5.0,4.5
1.5,1.0
6.0,3.5
5.0,5.0
2.0,0.0
7.5,6.0
27.5,32.0
5.5,5.5
3.5,1.5
1.5,-1.0
3.0,1.5
7.5,6.5
4.0,3.0
5.5,4.0
3.0,5.0
8.0,3.5
5.0,4.0
2.0,0.5
3.0,2.5
9.5,11.0
4.5,1.5
3.0,1.5
8.5,6.0
11.5,10.5
3.5,3.5
5.5,5.5
2.5,2.0
4.0,3.0
7.5,10.5
2.0,-2.5
10.0,8.5
57.0,63.5
4.0,3.5
4.0,3.0
