GONZAGA-REGGIOLO,VILLANOVA DI REGGIOLO
6.0,7.0
2.0,2.5
2.0,3.0
1.0,2.0
0.5,5.0
6.0,7.5
1.0,2.5
0.5,1.5
2.5,3.5
1.0,2.0
0.0,1.0
6.5,10.0
1.0,2.0
9.5,10.5
7.0,8.0
4.0,5.0
4.5,5.5
5.5,6.5
1.0,2.5
1.5,2.5
2.0,3.5
0.0,1.0
2.0,2.5
1.0,3.0
1.5,2.5
1.5,2.5
1.5,2.5
2.5,3.5
5.5,6.5
0.5,1.5
2.0,4.0
0.5,1.5
3.5,5.5
4.0,10.5
10.5,12.0
4.0,5.0
5.0,6.0
2.0,4.0
0.0,1.0
2.0,20.0
10.5,12.0
1.0,2.0
0.5,2.0
1.0,2.0
3.5,4.5
6.5,7.5
5.0,6.0
1.0,2.0
1.5,2.5
5.5,7.0
1.5,2.5
0.5,1.5
0.5,2.0
5.0,6.5
9.0,11.0
21.5,22.5
5.5,6.5
0.0,0.5
1.0,1.5
3.0,7.0
5.5,6.0
0.0,1.5
-0.5,0.5
0.5,1.5
1.0,1.5
1.0,2.5
1.0,2.0
2.0,3.0
4.0,5.5
3.0,3.5
1.0,2.5
2.0,3.0
6.5,7.5
1.0,2.5
1.5,2.5
2.0,3.5
1.0,2.0
2.5,3.5
3.0,4.5
1.5,2.5
4.5,5.5
3.5,5.0
1.5,3.0
2.0,3.5
1.5,4.5
3.5,4.5
0.0,1.5
1.5,2.5
1.5,5.5
19.0,20.0
