RAVENNA,GODO
-1.0,2.0
-2.0,5.5
4.0,7.5
1.0,4.0
-2.5,11.0
6.5,7.5
0.5,5.5
-2.0,6.0
1.5,4.0
1.5,9.5
-2.0,5.0
11.0,11.0
-1.0,3.0
-2.0,4.5
0.0,7.5
-1.0,1.5
-2.5,2.5
3.5,4.0
-1.5,1.5
-1.5,3.0
0.0,4.0
-1.0,2.0
-3.0,4.5
0.5,1.5
2.5,6.0
-2.5,3.0
-1.5,6.5
1.0,11.0
0.0,6.0
-2.5,8.0
2.0,1.5
0.0,2.5
-1.0,1.5
-2.5,5.5
4.0,5.5
-1.0,-8.5
-2.0,5.5
-2.0,6.5
2.0,3.5
0.5,7.5
-3.0,4.5
2.5,8.5
1.0,2.0
-1.5,3.5
4.5,7.0
-1.0,1.5
-2.0,5.0
2.0,2.5
-1.0,6.5
-2.5,5.5
-2.0,5.0
2.0,4.0
0.0,2.0
1.5,1.5
-1.5,6.0
3.5,4.5
-1.0,1.5
-2.0,5.5
4.5,4.0
-0.5,5.5
-1.0,5.5
1.0,2.0
-0.5,1.5
-2.5,4.5
1.5,1.5
0.0,2.0
5.5,1.5
4.0,4.0
0.0,2.5
-2.0,10.5
3.0,3.0
-0.5,2.0
-2.0,5.5
1.0,7.0
-1.0,1.5
16.0,12.0
-2.5,6.0
3.5,8.0
-0.5,4.0
-1.5,8.5
0.5,4.0
-0.5,4.0
-1.5,7.5
4.5,5.0
0.5,4.0
-1.5,6.0
4.0,4.0
0.5,2.5
-1.5,3.5
-2.0,6.5
-2.0,5.0
2.5,4.5
8.0,7.0
-2.5,4.0
2.5,6.0
-1.0,1.5
1.5,6.0
4.5,5.0
-1.0,1.5
1.5,5.5
3.5,5.0
0.0,2.5
-2.0,3.5
2.5,4.5
-1.0,4.5
-2.0,5.0
4.5,6.5
-1.0,1.5
-3.0,5.5
1.5,1.5
-0.5,2.0
-2.5,5.5
-1.5,6.5
6.0,5.5
-0.5,1.5
-2.0,5.5
0.0,6.0
-1.0,1.5
-1.5,6.0
2.5,3.0
-1.0,3.5
-2.5,6.5
4.5,4.5
-0.5,1.0
-1.0,6.0
2.5,2.5
0.0,1.5
-2.0,3.5
4.0,5.0
0.0,2.0
-2.5,8.5
-2.0,5.0
15.5,18.5
0.0,8.0
-2.0,3.5
4.0,5.5
16.0,15.5
-1.0,6.5
5.0,5.0
-0.5,2.0
-3.0,4.5
4.0,6.5
1.0,2.0
-2.5,4.0
4.5,5.5
-1.0,1.5
-2.0,5.5
0.5,2.5
-0.5,2.5
-2.0,5.0
4.5,5.5
-1.0,5.0
3.5,6.0
-0.5,2.5
-2.0,6.0
2.0,3.0
-1.5,2.0
-2.5,6.5
4.0,4.0
-0.5,4.0
-2.0,6.0
1.0,3.0
-1.0,2.0
-1.5,5.5
1.0,2.0
-1.5,5.0
3.5,6.0
27.5,20.0
-2.0,6.0
0.5,2.0
-2.0,5.5
0.0,1.0
3.0,6.0
-2.0,6.0
0.0,2.0
-2.5,4.0
-2.5,6.0
6.0,7.0
0.0,1.5
-2.0,6.0
0.0,2.5
1.0,2.5
-2.0,6.0
7.0,7.0
-0.5,2.0
-1.0,4.5
5.5,10.0
2.5,5.5
-2.0,5.0
6.5,9.0
-1.0,1.5
-2.0,5.5
7.5,9.5
-1.5,2.5
-1.5,5.0
3.5,6.0
0.0,6.5
-2.0,5.5
-2.5,5.5
2.5,3.5
-0.5,1.5
-2.0,4.5
6.0,8.5
-0.5,2.0
-1.5,3.5
2.0,5.5
1.5,2.5
-3.0,6.5
5.5,7.5
0.5,2.0
-2.5,5.5
-3.0,5.0
8.0,9.0
-1.5,3.0
-2.0,3.0
2.0,2.5
3.0,3.5
-1.0,4.0
-2.0,5.5
0.0,1.5
-1.0,1.5
-2.5,3.5
8.0,13.5
12.0,9.0
-3.5,9.5
21.0,22.0
-0.5,4.5
5.0,6.5
-2.0,5.5
3.0,11.0
0.0,5.5
-0.5,5.5
-2.0,5.5
-0.5,1.5
2.0,3.0
-1.0,6.5
-2.5,5.0
4.5,6.0
2.5,6.0
-1.5,5.5
2.0,3.5
5.5,2.0
-2.0,6.0
3.5,5.5
-0.5,5.5
-0.5,7.0
4.5,4.5
23.5,22.0
-1.5,5.5
-1.5,5.0
-2.0,5.0
1.5,3.0
0.0,4.0
-2.5,5.5
