BOLOGNA MAZZINI,BOLOGNA S.RUFFILLO
6.5,5.5
5.0,4.0
1.0,0.0
5.0,5.0
1.0,-0.5
3.0,1.5
1.0,0.0
1.5,0.5
1.0,0.0
11.0,9.5
1.5,0.5
2.0,1.0
2.0,1.0
0.0,-1.0
3.0,1.5
5.5,4.5
14.5,13.0
1.0,0.0
1.5,0.0
17.5,16.0
2.0,1.5
2.5,2.0
7.5,6.5
5.0,4.5
1.0,0.0
3.5,2.0
1.5,0.5
0.5,-0.5
0.5,-0.5
1.0,0.0
1.5,0.0
1.5,0.0
1.0,0.0
1.5,0.5
1.0,0.0
1.0,0.5
0.5,0.0
1.5,0.5
1.0,0.0
2.5,2.0
1.0,-0.5
11.5,15.0
1.5,0.0
1.0,0.0
1.5,0.5
3.0,2.0
2.5,1.0
0.5,0.0
3.5,2.0
7.0,6.0
1.5,0.0
1.0,0.0
2.0,0.5
1.5,0.5
0.5,-0.5
1.0,0.5
1.5,0.0
1.0,0.0
1.5,0.0
1.0,0.0
2.0,0.5
1.0,-0.5
1.0,0.0
25.0,24.5
1.5,0.5
2.0,1.0
1.5,0.5
1.5,0.0
1.5,0.0
1.5,0.5
1.5,0.5
1.5,0.5
4.5,3.5
2.5,1.0
2.0,1.0
3.5,2.5
9.0,7.5
4.0,3.5
1.0,0.5
2.5,1.0
5.0,4.0
1.0,-0.5
1.5,0.0
1.5,0.0
12.0,11.0
1.0,0.0
1.0,0.0
2.5,1.0
1.5,0.5
4.0,2.5
1.5,0.5
1.0,0.0
2.0,1.0
2.5,1.5
2.5,2.0
1.0,0.0
1.5,0.5
1.0,0.0
2.0,1.0
1.5,0.5
14.5,13.0
1.0,0.0
2.5,1.5
1.0,0.0
3.0,1.5
1.0,0.0
1.5,0.0
5.0,3.5
1.5,0.0
1.5,0.0
2.5,1.5
3.0,1.5
7.0,17.5
1.0,0.0
1.5,0.5
10.0,8.5
1.5,0.0
0.5,-0.5
1.5,0.5
1.0,0.0
1.5,0.5
2.5,1.5
1.5,0.5
2.5,1.5
11.0,9.5
1.5,0.0
1.0,0.0
3.0,2.0
5.0,3.5
5.0,4.5
3.0,2.0
1.0,0.0
2.0,0.5
2.0,1.5
2.5,1.0
1.0,0.0
1.5,0.5
1.0,0.0
1.5,0.5
1.0,0.0
1.0,-0.5
2.5,1.0
3.0,2.0
1.5,0.0
2.5,1.0
1.5,1.0
3.0,2.5
0.0,-1.0
1.0,-0.5
1.5,0.5
1.0,0.0
3.0,1.5
2.5,1.0
2.0,1.0
1.5,0.5
3.5,2.0
2.5,1.5
1.0,0.0
2.0,1.0
1.5,0.5
12.0,11.0
2.5,1.0
1.5,1.0
1.5,1.5
1.0,0.0
1.5,1.5
1.0,0.0
2.0,1.0
0.5,-1.0
1.5,0.5
1.0,0.0
2.0,0.5
2.0,1.0
2.0,1.0
5.5,4.5
2.0,0.5
1.0,0.0
1.0,0.0
4.0,3.0
1.5,0.5
1.5,0.0
2.5,1.5
1.5,0.5
5.5,4.0
2.0,1.0
2.0,1.0
1.0,-0.5
1.0,0.0
1.5,0.0
5.0,3.5
3.5,2.0
2.5,1.5
1.5,0.5
3.0,2.0
2.5,1.5
9.0,8.0
3.0,1.5
0.5,-0.5
1.0,0.0
1.0,0.0
2.0,1.0
1.5,0.0
1.0,0.0
1.5,0.0
1.0,0.0
2.5,1.5
1.0,0.0
5.5,4.5
2.5,1.0
1.0,0.0
5.0,4.5
5.0,5.0
2.5,1.0
1.0,-0.5
1.5,0.0
4.5,3.0
1.0,0.0
0.5,-0.5
1.5,0.5
1.0,0.5
10.5,9.5
1.0,0.0
7.0,6.0
4.0,2.5
1.5,0.0
2.0,1.0
2.0,1.0
2.0,0.5
7.5,6.5
3.0,2.0
2.0,0.5
2.5,2.0
9.5,8.0
3.0,2.0
2.0,1.5
1.5,0.5
2.0,1.0
1.0,0.0
2.0,0.5
2.5,1.5
2.0,1.0
3.5,2.0
