MODENA,CARPI
2.0,0.5
1.0,2.5
1.0,1.0
1.0,0.0
1.0,0.0
2.0,2.5
2.0,0.5
10.0,8.5
0.0,-1.5
1.0,0.0
2.0,2.0
5.0,3.5
2.0,2.5
1.0,1.0
2.0,0.5
1.0,0.0
3.0,2.5
2.0,5.0
1.0,1.5
1.0,0.5
1.0,0.0
3.0,1.5
1.0,0.0
2.0,-0.5
9.0,8.5
1.0,-1.5
1.0,-1.0
5.0,3.5
2.0,-1.5
2.0,3.0
1.0,0.0
3.0,0.5
4.0,2.0
1.0,0.5
3.0,1.5
2.0,2.0
3.0,4.0
1.0,-1.0
2.0,1.0
2.0,-0.5
2.0,3.0
1.0,-0.5
28.0,26.5
1.0,1.0
1.0,0.0
2.0,3.0
1.0,0.5
1.0,0.0
2.0,2.5
4.0,3.0
2.0,2.5
2.0,5.5
2.0,-1.0
2.0,1.0
1.0,1.0
13.0,16.0
2.0,3.5
1.0,4.0
2.0,-1.5
2.0,0.5
3.0,0.5
5.0,5.5
3.0,1.0
2.0,-0.5
1.0,-1.5
1.0,-1.0
2.0,2.0
1.0,-0.5
2.0,4.0
2.0,-0.5
2.0,-1.0
2.0,2.5
1.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
2.0,2.5
2.0,3.0
2.0,0.5
2.0,-0.5
0.0,1.0
2.0,2.5
2.0,2.0
1.0,-0.5
1.0,-1.0
1.0,-1.0
3.0,4.0
1.0,-1.0
2.0,2.0
1.0,-0.5
1.0,-2.0
2.0,3.0
1.0,1.0
2.0,0.0
2.0,0.5
1.0,-1.5
2.0,2.5
1.0,0.5
2.0,-0.5
2.0,0.0
5.0,2.5
2.0,3.0
1.0,-0.5
2.0,0.0
1.0,0.0
2.0,0.5
3.0,2.5
1.0,0.0
1.0,-0.5
1.0,-1.5
1.0,-0.5
1.0,0.5
2.0,1.5
2.0,1.0
2.0,0.0
2.0,0.0
1.0,15.5
2.0,1.0
1.0,-0.5
2.0,0.5
1.0,-1.0
1.0,0.0
2.0,1.5
2.0,0.5
1.0,-2.0
1.0,-0.5
2.0,1.0
2.0,1.0
1.0,1.0
1.0,-1.5
1.0,-1.0
2.0,0.0
2.0,3.0
3.0,1.5
1.0,-1.5
2.0,0.5
1.0,-1.5
1.0,1.0
2.0,3.0
1.0,0.5
2.0,-1.5
1.0,-1.5
1.0,-0.5
4.0,4.0
1.0,2.0
2.0,0.0
1.0,1.5
1.0,2.5
1.0,-0.5
2.0,0.0
2.0,0.5
1.0,-1.0
2.0,1.0
2.0,0.5
1.0,-0.5
2.0,0.0
1.0,1.5
1.0,1.5
2.0,-1.0
2.0,4.0
2.0,1.5
1.0,-0.5
10.0,7.5
14.0,12.5
1.0,-0.5
2.0,1.5
2.0,3.0
1.0,-0.5
2.0,0.0
1.0,-1.5
1.0,0.5
2.0,1.5
4.0,3.5
4.0,4.0
2.0,1.0
2.0,-0.5
2.0,0.5
9.0,12.5
4.0,5.0
1.0,0.5
3.0,0.5
2.0,1.5
2.0,-0.5
21.0,18.0
2.0,1.5
0.0,-0.5
2.0,1.5
1.0,-1.0
1.0,-1.0
1.0,1.0
1.0,-0.5
1.0,0.5
1.0,0.5
2.0,0.5
1.0,0.0
2.0,2.0
2.0,-0.5
1.0,1.0
1.0,-0.5
1.0,0.0
1.0,-1.0
3.0,0.5
2.0,0.5
8.0,6.0
2.0,-1.0
3.0,2.5
2.0,2.0
2.0,0.0
1.0,1.0
2.0,0.5
1.0,0.0
1.0,-1.5
2.0,1.0
9.0,6.5
2.0,3.5
3.0,0.0
1.0,2.5
2.0,1.5
1.0,2.0
1.0,-0.5
1.0,-1.0
1.0,-1.0
1.0,-0.5
2.0,2.5
1.0,0.0
2.0,-0.5
2.0,1.0
1.0,-1.0
2.0,2.5
2.0,1.0
2.0,0.5
2.0,3.5
1.0,-1.0
2.0,1.5
1.0,2.0
2.0,2.0
2.0,-1.0
2.0,0.5
1.0,0.5
1.0,0.0
10.0,7.0
2.0,0.5
1.0,-0.5
2.0,1.0
1.0,-0.5
1.0,-1.0
2.0,0.0
3.0,2.5
2.0,3.0
0.0,-0.5
2.0,1.0
4.0,2.0
1.0,3.5
2.0,3.5
2.0,0.0
1.0,-1.5
2.0,-1.0
2.0,-0.5
1.0,0.0
3.0,2.0
1.0,0.5
1.0,0.0
3.0,3.5
2.0,-1.0
1.0,0.0
1.0,-0.5
16.0,15.0
2.0,0.0
1.0,-0.5
2.0,3.5
3.0,1.0
2.0,0.0
2.0,0.0
7.0,4.0
1.0,2.0
1.0,1.5
1.0,0.5
1.0,1.5
1.0,1.0
2.0,2.5
1.0,-0.5
4.0,3.0
2.0,1.5
4.0,8.5
1.0,6.0
1.0,-0.5
1.0,2.0
1.0,0.0
2.0,0.0
1.0,3.5
2.0,1.5
1.0,-0.5
3.0,0.0
1.0,0.5
2.0,0.5
5.0,5.5
2.0,19.5
1.0,1.5
2.0,1.5
1.0,0.0
2.0,1.0
1.0,1.0
2.0,2.0
2.0,2.0
1.0,-1.5
1.0,0.0
1.0,-0.5
1.0,0.5
2.0,1.5
4.0,6.5
2.0,0.5
1.0,4.5
2.0,0.5
2.0,1.0
4.0,1.0
2.0,-1.5
1.0,-1.0
2.0,1.5
1.0,0.5
4.0,2.0
1.0,1.5
1.0,-0.5
1.0,-1.0
2.0,1.0
1.0,1.5
1.0,-0.5
2.0,1.5
2.0,-1.0
1.0,2.0
1.0,-1.0
2.0,27.5
2.0,0.0
