IMOLA,LUGO
-3.0,0.5
-1.5,1.0
0.5,3.0
-2.0,1.5
0.0,1.0
-0.5,2.5
-1.5,1.0
-2.0,7.0
2.5,3.5
1.0,3.0
-1.0,1.0
3.5,6.0
-2.5,1.0
5.0,4.5
-1.5,-0.5
-2.0,0.0
-0.5,-1.0
0.0,0.5
-0.5,1.0
-2.0,0.5
3.5,3.0
-3.0,-0.5
0.0,0.5
0.5,3.0
8.0,9.5
-2.5,2.0
-1.0,3.0
-3.5,0.5
-2.0,0.0
0.0,0.5
-1.5,-0.5
-1.0,-1.0
-2.5,0.5
-3.5,-0.5
-2.0,-1.5
-1.5,3.0
-4.0,-0.5
-1.0,3.5
-3.5,-0.5
-2.5,1.0
-2.0,1.0
-0.5,0.5
-2.0,0.0
-3.0,1.5
1.5,1.0
-2.5,6.5
5.5,5.0
0.0,5.5
0.5,0.5
-2.0,2.0
2.5,1.5
1.5,2.0
-0.5,-0.5
0.5,0.0
53.5,63.0
-3.5,-2.0
-2.0,-1.0
-4.0,-0.5
-3.5,-0.5
0.0,0.0
-2.5,4.5
-2.0,-0.5
2.5,3.0
1.5,0.5
-1.5,-0.5
-3.0,0.0
0.0,0.0
-1.5,2.5
0.0,5.0
1.5,1.5
4.5,4.0
6.5,6.0
1.0,1.0
13.5,12.0
11.5,10.0
27.0,35.5
19.5,19.0
-1.5,1.5
-3.0,0.5
-1.5,3.5
2.5,2.5
4.5,5.0
-0.5,2.0
-3.0,1.0
-3.5,-0.5
24.5,27.0
-1.5,-0.5
7.0,9.0
0.0,2.0
11.5,12.0
0.0,2.5
-4.5,3.0
5.0,3.5
-2.5,1.0
-0.5,4.0
-3.5,0.0
4.0,3.0
-0.5,0.5
7.5,6.5
2.0,5.0
-2.5,1.0
-0.5,-0.5
-3.0,0.5
-0.5,2.5
8.0,8.0
-0.5,0.0
3.5,1.5
1.0,7.0
3.5,2.0
-3.5,2.5
-2.5,2.0
-1.0,3.5
-1.5,0.5
-2.5,1.5
-5.0,-1.0
3.0,2.0
9.5,10.0
-2.0,1.0
-2.5,7.0
-1.5,7.0
6.0,6.5
-4.0,1.0
8.5,18.5
-3.5,2.5
-3.0,2.5
0.0,0.5
0.5,1.5
21.0,22.0
4.0,3.0
4.5,5.0
-2.5,-0.5
3.5,6.5
-2.0,3.5
-2.0,1.0
