TORINO P.NUOVA,TORINO PORTA SUSA
6.0,3.0
1.0,-2.0
2.0,0.5
4.0,1.5
1.0,-2.0
1.0,-1.0
1.5,-0.5
164.5,160.0
1.5,-1.0
0.5,-2.0
5.5,4.0
7.5,6.0
0.5,-3.5
1.0,-1.0
5.0,3.5
3.5,-1.5
1.0,-0.5
1.0,-1.5
2.0,1.0
3.5,0.5
0.5,-4.5
2.0,-0.5
1.0,-1.5
1.5,-1.5
1.5,-1.5
1.0,-1.5
8.5,6.0
2.0,-2.5
1.5,0.5
2.5,0.0
1.0,-2.0
3.5,0.5
1.5,-1.0
1.5,0.5
4.0,2.0
0.5,-0.5
1.5,-0.5
3.0,1.5
3.0,0.5
1.0,-1.5
1.0,-0.5
2.0,-1.5
1.5,-0.5
0.5,-4.0
1.5,-1.5
5.5,4.0
1.0,-1.5
1.0,-0.5
0.5,-2.5
2.5,0.5
1.5,-1.0
0.5,-3.5
3.0,-0.5
1.0,-1.5
1.0,-2.0
0.5,-1.5
2.5,0.0
0.5,-3.0
3.0,1.5
1.5,-0.5
1.0,-3.0
2.0,-0.5
0.5,1.0
3.5,0.0
0.5,-3.5
2.5,1.5
1.5,-0.5
2.0,-3.0
3.5,1.0
1.5,-0.5
4.0,1.5
1.0,-3.0
1.0,4.5
0.5,-2.0
2.5,-2.5
1.5,-1.0
0.5,-1.5
2.0,4.0
1.0,-3.5
1.5,-1.5
1.0,-1.5
1.5,-3.5
3.0,0.0
1.0,-2.0
2.0,-0.5
0.5,-4.0
2.0,-0.5
0.5,-2.5
1.0,-4.0
1.5,0.0
1.0,1.0
2.0,0.0
1.5,-2.5
1.0,-1.5
0.5,-1.0
0.5,-3.0
2.0,-1.0
1.0,2.0
3.5,-1.0
1.5,-1.5
1.0,-1.0
0.5,-2.5
2.5,-0.5
2.5,0.0
1.0,-1.5
1.0,-3.5
2.0,3.5
0.5,-1.5
1.5,-4.0
1.0,-2.0
1.0,0.5
1.0,-1.5
1.0,2.5
13.5,12.5
3.0,-0.5
1.5,-1.0
5.5,3.0
1.5,-1.0
5.0,2.0
2.5,0.5
3.5,0.5
4.5,2.0
2.0,-1.0
1.0,-1.0
2.0,-3.0
2.0,-1.0
1.5,2.5
2.0,-2.5
2.5,0.0
1.0,-2.0
1.0,-2.5
1.5,-1.5
3.5,0.5
1.0,-3.5
1.0,-2.0
1.5,-1.5
0.5,-3.5
2.5,0.0
1.5,-2.0
1.0,0.0
1.0,-1.5
9.5,5.0
2.5,0.0
2.0,0.5
4.0,-1.0
4.0,2.0
2.0,0.5
2.0,-3.0
1.0,1.0
1.0,-0.5
3.0,-1.0
2.0,1.0
4.5,3.5
0.5,-1.5
4.0,3.0
2.5,-1.0
2.5,4.5
1.0,-1.0
1.5,-2.0
3.5,1.0
1.0,-2.0
2.0,-0.5
2.0,-0.5
2.0,-2.5
8.0,6.0
2.0,-0.5
0.5,-2.5
2.0,-1.0
1.0,-1.0
3.0,1.0
2.0,-2.0
3.0,0.0
1.5,1.0
1.0,-3.0
2.0,-1.0
3.0,0.5
3.5,0.0
1.0,-4.0
2.5,0.0
1.0,-1.0
1.0,-3.5
2.5,0.5
2.5,0.0
0.5,-4.0
1.0,-1.0
1.5,0.0
1.0,-2.5
0.5,-2.0
1.0,-1.5
2.5,0.0
2.5,-3.0
4.0,3.0
1.0,-1.5
1.0,-3.5
1.5,-1.0
3.0,0.0
2.5,-0.5
2.0,-0.5
2.5,-1.0
5.0,2.0
4.5,2.0
1.5,0.5
1.0,-1.5
3.0,0.5
1.0,-3.0
2.0,-0.5
1.0,0.5
1.0,-2.0
0.5,-2.0
0.5,-2.0
2.0,-0.5
2.0,-0.5
3.5,1.0
1.5,6.0
3.0,1.0
2.0,0.5
4.5,0.5
9.5,8.5
2.5,0.5
1.5,0.5
1.5,0.0
11.0,8.5
0.5,-1.5
2.5,-0.5
4.5,2.0
3.0,0.5
1.0,-4.0
2.0,-1.0
1.0,-1.5
1.0,-3.0
1.5,-1.5
1.5,-2.0
3.5,1.5
6.0,3.0
2.0,-3.5
2.5,0.0
1.5,-0.5
2.5,-2.5
2.0,0.0
2.5,1.0
2.0,-3.0
2.0,-0.5
0.5,-1.0
0.5,-4.0
0.0,-1.5
2.5,0.5
2.0,0.5
0.5,-4.0
3.5,0.5
0.0,-1.0
3.5,-1.0
11.0,9.0
1.0,0.0
5.5,4.5
2.5,7.5
1.0,-1.5
2.0,-1.0
1.0,-3.0
2.5,-1.0
0.5,-2.5
1.5,-3.0
1.0,-1.5
2.0,-1.0
1.5,-1.5
2.0,-1.0
0.5,-3.5
3.5,5.0
2.0,-0.5
3.5,0.0
2.0,-1.0
4.0,1.5
5.5,2.5
4.0,-1.0
1.5,1.5
1.5,-1.0
6.5,2.0
1.5,-1.0
1.0,0.5
4.0,1.5
1.0,2.0
0.0,-1.5
1.5,-1.0
1.0,1.0
1.0,-3.0
1.0,1.5
1.5,0.0
1.0,-2.0
1.5,-1.0
1.0,0.0
1.5,-0.5
1.5,3.0
1.5,-3.0
5.5,3.0
1.0,-2.0
7.5,4.0
1.0,0.0
12.0,9.0
3.0,0.5
3.5,1.0
2.5,-2.5
1.5,1.5
1.0,-1.0
1.5,-3.0
3.5,0.5
1.5,-2.0
1.0,3.5
1.5,0.0
1.0,-4.0
1.5,2.0
0.5,3.0
1.0,-1.5
0.5,-1.0
1.0,-1.5
1.0,-3.5
1.5,-2.0
2.5,0.0
1.0,-3.5
2.0,-0.5
3.5,4.0
3.0,2.5
2.0,2.0
2.0,-1.0
0.5,-1.5
5.0,0.5
1.0,-2.0
2.5,-0.5
1.5,2.0
3.0,0.0
1.5,-2.5
1.5,-1.5
1.0,-1.5
2.5,-1.0
2.0,1.5
3.0,1.0
4.0,3.0
2.0,1.0
0.5,-2.0
2.5,1.5
1.0,-1.0
1.5,-1.5
2.5,-0.5
1.5,-1.5
1.0,-1.5
1.5,-2.0
2.5,4.5
0.5,-1.5
1.0,-2.0
2.5,-0.5
3.5,0.5
1.0,-2.0
1.5,-0.5
1.5,-3.5
2.0,3.0
3.5,1.0
1.0,-3.0
1.0,-1.5
1.0,0.5
1.5,-3.5
2.0,1.0
1.0,-1.5
0.5,-4.0
1.5,-0.5
1.0,-1.5
3.0,1.5
1.0,-1.5
3.5,1.0
1.0,-1.0
0.5,-3.5
1.0,-0.5
2.0,-1.0
1.0,0.5
2.5,-0.5
1.5,-2.0
5.5,2.5
1.5,-1.0
1.0,-3.5
2.5,2.5
2.0,-0.5
1.0,-2.0
4.5,2.0
1.5,-2.0
1.5,-1.0
3.0,1.5
5.0,1.5
1.5,0.0
1.0,-1.0
27.5,23.0
1.0,2.5
1.5,0.0
4.0,-0.5
3.5,5.5
3.0,2.5
1.5,0.0
3.5,1.5
20.0,17.0
2.0,1.0
5.0,4.5
15.0,23.0
8.0,6.5
2.5,-0.5
2.0,0.5
2.5,1.0
1.5,-3.5
3.0,0.0
3.0,0.5
1.5,-3.0
0.5,-2.5
1.0,1.0
0.5,-0.5
2.5,-1.5
2.0,-1.0
2.0,-1.5
4.5,2.0
1.0,-1.0
3.5,0.0
1.0,-2.0
0.0,-1.0
1.5,-1.5
0.5,-1.0
1.5,1.0
1.5,0.5
2.0,1.5
1.0,-2.0
5.0,2.5
4.0,1.0
1.0,-4.0
4.5,1.5
1.0,-1.5
1.5,-3.5
1.5,0.0
1.0,-2.5
1.5,-1.5
2.0,-3.5
4.5,1.5
0.5,-2.5
2.0,0.0
1.5,21.0
1.0,-2.0
2.5,1.0
4.0,2.5
1.0,-3.0
1.0,3.5
1.0,-1.0
1.0,-2.0
1.5,-0.5
3.5,1.0
1.0,0.0
9.5,7.5
1.0,-3.5
2.0,-0.5
1.0,-1.0
3.0,-2.0
1.0,-0.5
2.0,-0.5
1.5,-0.5
4.0,1.0
1.5,-3.0
2.0,-1.0
2.0,-0.5
2.0,-2.5
2.5,-0.5
1.5,-0.5
3.0,-2.0
2.0,-0.5
2.0,-0.5
6.0,1.0
1.5,-0.5
1.5,0.0
0.5,-2.5
1.0,-1.0
1.0,-0.5
3.0,-1.0
2.5,-0.5
15.5,13.5
1.5,-1.5
1.5,-2.5
2.0,3.0
1.0,-2.0
2.5,-1.5
1.0,-2.0
1.0,-2.0
1.5,-1.0
4.5,3.0
0.5,-4.0
4.5,2.0
1.5,2.5
2.0,-3.0
1.0,-2.0
4.5,2.0
1.0,-2.0
2.5,0.5
1.5,-1.0
3.5,0.5
1.5,-0.5
2.5,-1.5
1.5,-1.5
2.5,0.5
5.5,3.0
1.5,-1.0
3.5,0.5
1.5,-1.0
3.0,-1.5
2.0,0.5
1.5,-2.0
1.0,-3.0
1.0,-0.5
0.5,-1.5
1.5,-3.0
2.5,2.0
2.0,-1.5
1.5,-3.5
4.0,1.0
2.0,-1.0
0.5,-4.5
1.0,-2.5
1.0,-0.5
5.0,1.5
1.5,-1.5
4.0,2.5
1.0,-3.5
1.0,-1.5
1.5,-1.5
1.5,-0.5
1.5,-1.5
1.5,-3.5
3.5,0.5
2.0,-0.5
1.0,-3.5
0.5,-4.0
4.0,2.0
1.0,-1.0
1.5,-0.5
2.0,-3.5
2.5,-0.5
2.5,0.5
3.0,-2.0
2.0,-0.5
3.0,1.0
3.0,3.0
9.0,5.5
2.0,2.5
0.0,-1.5
7.5,3.0
1.5,-1.0
1.0,-1.0
2.0,-2.0
1.5,-0.5
1.0,-1.0
0.5,-3.5
2.0,0.5
1.5,-1.0
1.5,0.5
2.5,0.5
1.0,-2.5
3.0,1.0
2.0,0.5
1.5,-0.5
0.5,-2.0
2.5,-0.5
2.0,0.5
5.5,3.5
0.5,-3.5
1.0,0.0
2.0,-1.0
1.0,-4.5
2.5,0.0
10.0,-0.5
3.0,0.0
1.5,-3.5
7.0,4.5
0.5,-2.0
5.5,0.0
3.0,0.0
3.5,0.0
1.0,-2.5
2.0,0.5
1.5,-0.5
1.0,-1.5
3.5,2.0
1.5,-1.5
2.0,4.0
6.5,3.5
2.0,-3.0
1.5,5.0
1.5,-1.0
4.5,0.0
1.0,0.0
1.5,0.0
2.0,0.5
4.5,3.0
2.0,3.0
4.0,2.5
5.0,4.0
11.0,9.0
0.5,-1.5
2.0,-0.5
2.0,0.0
2.0,0.0
2.0,-2.5
1.5,-1.0
2.0,0.5
3.0,-0.5
0.5,-1.5
2.5,0.5
2.0,-1.0
1.5,3.0
4.0,0.0
37.0,34.5
1.5,-0.5
12.5,8.0
3.5,1.0
2.0,-0.5
1.5,-3.5
2.5,0.0
1.0,-2.0
2.0,-2.5
2.5,0.5
29.5,26.5
2.0,-1.0
2.5,-0.5
3.0,-2.5
6.0,3.5
2.0,-0.5
3.5,-0.5
2.5,0.5
0.5,-2.0
1.0,-3.5
2.5,-0.5
1.0,-2.0
1.5,-3.0
3.5,1.5
3.0,1.0
3.0,0.5
1.0,-3.5
2.0,-0.5
0.5,-1.0
0.5,-4.0
2.0,0.5
1.0,-2.5
1.5,-2.5
0.5,-2.0
1.0,-1.5
1.5,-2.0
1.0,0.0
2.0,-1.0
0.5,0.0
1.5,-2.0
1.0,-4.5
1.5,-0.5
1.5,-0.5
3.0,-2.0
1.5,-1.0
1.5,-2.0
1.0,-1.5
3.0,1.0
4.0,-1.0
2.0,-1.0
1.0,-2.0
1.0,-4.0
5.0,2.5
3.5,1.0
2.0,-0.5
1.0,-3.0
2.0,-0.5
1.0,-1.0
1.0,-3.0
1.0,-2.0
1.0,1.0
1.5,-1.0
1.0,-3.0
2.0,-0.5
0.5,-2.0
4.5,-1.0
2.5,-0.5
0.5,-2.5
1.0,1.5
0.0,-2.5
2.5,-0.5
2.0,0.0
2.0,-2.5
2.5,1.5
9.0,7.5
1.5,0.0
3.0,2.0
1.0,-2.0
2.5,1.0
0.5,-1.5
1.0,-2.0
2.0,-1.0
1.5,-0.5
3.5,0.5
1.5,-2.5
4.0,1.5
0.5,-1.0
4.0,-1.5
2.0,-1.0
4.0,4.5
0.5,-3.5
2.0,1.5
1.0,0.5
1.5,-2.5
4.0,2.0
4.0,1.5
4.0,2.5
3.5,1.0
5.0,0.0
4.5,2.0
2.0,0.5
13.5,11.0
2.0,0.0
1.0,-1.5
2.0,1.0
2.0,-0.5
1.0,-1.0
5.0,2.5
2.5,-0.5
1.0,-4.0
3.5,2.0
1.0,0.0
2.0,1.5
2.5,1.5
1.0,-2.0
1.5,-0.5
2.5,0.0
1.5,-2.0
1.5,0.0
1.5,-2.5
4.0,2.5
1.5,0.0
2.5,-2.5
1.0,-2.0
4.0,1.5
1.5,-3.0
1.5,-1.0
0.5,-2.0
1.0,-3.5
1.5,-1.0
1.0,0.0
0.5,-4.5
1.5,0.5
0.5,-2.0
4.0,-0.5
0.5,-1.0
1.5,-1.5
1.0,-1.5
2.0,0.5
1.0,-4.0
1.5,-1.5
1.5,-1.0
1.5,-4.0
0.5,0.0
3.5,1.5
5.5,5.5
1.5,0.5
14.0,11.0
2.0,4.5
1.0,-0.5
30.0,28.0
2.0,-1.0
1.5,0.0
4.5,2.0
1.0,-3.5
2.5,-1.0
1.5,-1.0
1.0,-3.5
3.0,1.0
1.0,-1.5
1.0,1.0
1.0,-2.0
1.0,8.5
2.0,2.5
1.0,-1.5
1.0,-1.5
1.5,-1.5
1.0,-1.0
2.5,0.0
2.5,-3.0
2.5,8.0
2.0,-1.0
1.0,-3.0
1.0,-2.0
1.0,0.5
0.5,-4.0
1.0,-2.5
1.0,-1.0
1.0,-4.0
10.0,9.5
8.5,6.0
2.5,1.0
5.0,0.5
1.0,0.0
2.5,1.5
1.0,-2.0
1.0,0.0
0.5,-3.0
0.5,-1.0
0.5,-1.5
1.5,0.5
2.0,-1.0
3.0,0.0
1.5,-1.0
1.5,-3.5
5.0,2.0
1.0,-2.0
2.0,-3.0
2.0,-0.5
1.5,3.0
1.0,-2.5
2.0,-1.5
5.5,4.0
1.5,-2.0
2.0,0.5
2.5,1.0
1.0,-1.0
2.5,0.5
3.0,3.5
1.5,-1.0
1.0,-1.5
2.0,0.5
1.5,-2.0
4.0,0.0
2.5,1.5
1.0,-1.5
1.5,-2.5
1.5,-1.5
1.5,-1.5
4.0,1.0
1.5,-3.5
6.0,3.5
0.0,-2.0
3.0,-1.5
1.5,-1.5
1.0,-1.0
2.0,-1.0
1.0,-1.0
5.5,2.5
1.5,-1.5
0.5,-4.0
2.0,-1.0
3.0,0.5
2.5,-0.5
1.5,-2.5
2.0,-0.5
1.5,0.0
0.5,-4.5
1.5,-1.5
1.0,-1.0
5.0,3.0
1.5,-3.5
2.0,-0.5
0.5,-1.0
3.0,3.0
0.5,-2.0
3.0,0.5
1.5,-2.0
1.0,-1.0
0.0,-2.0
0.5,-3.5
1.0,-1.5
0.5,-2.5
4.0,1.0
4.0,1.5
6.5,3.5
3.0,0.0
1.0,-3.5
1.5,0.5
1.5,-1.0
1.0,-2.0
2.5,-0.5
1.5,-3.0
1.5,-1.5
1.5,0.5
4.5,1.0
