DOSSOBUONO,VERONA PORTA NUOVA
3.0,1.0
-0.5,1.0
2.0,0.5
-0.5,-1.5
1.5,-1.0
4.0,5.0
11.5,10.0
4.5,3.0
4.5,2.5
8.5,7.5
11.5,9.5
3.5,2.0
3.5,2.5
3.0,2.0
4.0,2.0
7.0,8.5
9.0,6.5
4.0,2.5
0.0,0.0
-0.5,-1.5
1.0,1.5
0.0,0.5
2.5,4.0
1.5,1.5
3.0,0.0
0.0,-1.5
1.0,-1.0
4.0,2.0
0.0,0.5
7.5,5.0
0.5,-1.0
2.0,-0.5
0.0,-1.5
2.5,1.0
4.5,4.0
12.0,10.0
0.5,-0.5
3.5,1.5
2.0,1.0
2.5,1.5
4.0,11.5
0.0,-1.5
0.5,-1.0
0.0,-2.0
1.5,0.5
2.5,0.0
3.0,2.5
1.0,-1.0
1.0,1.0
2.5,1.0
3.5,3.0
6.5,5.0
1.5,1.5
0.5,-1.0
10.5,12.0
11.0,10.5
6.0,7.5
2.0,1.0
0.5,-0.5
0.0,0.0
4.0,1.5
0.0,-1.5
6.5,5.5
3.0,5.0
2.0,1.5
9.0,7.5
2.0,0.5
1.5,9.5
1.0,-1.0
0.0,-1.5
0.0,-2.0
2.5,0.5
0.5,-0.5
1.5,1.0
0.5,0.0
3.0,3.5
1.0,-1.0
4.5,2.0
0.0,-1.5
10.0,15.0
2.0,0.5
1.5,0.0
1.5,1.0
3.0,1.0
0.5,-0.5
4.0,3.5
1.5,1.5
2.5,2.5
3.0,4.5
0.0,0.5
1.5,0.0
21.0,23.0
1.5,0.0
1.5,1.0
1.5,-0.5
4.0,3.0
5.0,2.5
0.5,2.5
-1.0,-1.0
-0.5,-1.0
-0.5,-2.0
-1.0,-1.5
5.0,3.5
-0.5,-2.0
9.0,7.5
0.0,-1.0
0.5,-0.5
-0.5,-1.5
7.0,7.0
3.5,3.0
1.5,1.5
5.0,5.0
4.0,3.5
9.0,10.0
4.5,3.5
7.0,4.0
2.5,1.0
1.5,-1.5
4.5,2.0
1.5,0.5
6.5,5.0
6.5,5.0
2.5,0.5
-0.5,-1.5
4.5,3.5
5.5,5.5
17.5,15.5
0.0,-0.5
1.0,-1.0
-0.5,2.5
3.0,1.0
15.0,13.5
1.5,0.0
0.5,-1.5
0.0,-2.0
1.5,1.5
25.0,23.5
0.5,0.0
2.5,1.0
1.0,2.0
2.0,0.5
2.0,0.5
1.0,-0.5
2.0,0.5
5.0,5.5
0.0,5.0
-0.5,-1.5
2.0,1.5
2.0,3.5
0.5,1.5
10.0,12.0
0.0,2.0
3.0,5.5
