PALIDANO,GONZAGA-REGGIOLO
3.0,2.0
2.0,0.5
4.5,3.0
5.0,3.5
2.5,1.0
5.0,4.0
1.5,0.0
2.0,0.5
4.5,3.5
1.5,0.0
3.0,2.0
2.0,1.0
7.0,6.0
4.5,4.0
1.5,-0.5
10.5,9.0
2.0,1.0
2.0,0.5
5.0,3.0
3.0,2.5
3.5,2.5
1.0,0.0
2.0,1.0
3.0,1.5
1.5,0.0
2.0,0.5
2.5,1.5
2.5,1.5
3.5,2.5
3.0,2.5
2.5,1.0
2.0,0.5
2.0,1.5
23.0,22.0
12.0,11.5
10.0,8.5
6.5,5.5
6.0,5.0
3.0,2.0
12.0,10.5
54.5,54.0
4.0,3.0
4.0,3.0
2.0,1.0
3.5,2.0
10.5,9.5
6.5,5.0
4.5,3.5
2.0,0.5
2.5,1.0
4.0,2.0
4.0,2.0
4.0,3.0
2.5,2.0
6.0,4.5
27.0,25.5
6.5,5.0
5.5,5.0
2.0,1.0
3.0,2.0
6.5,6.0
5.0,4.5
2.0,1.5
3.0,2.0
2.5,1.5
4.5,3.0
6.0,5.0
3.5,2.5
6.5,5.5
1.5,0.0
6.5,5.0
2.0,0.5
2.5,1.0
7.5,6.5
3.0,2.0
2.0,0.5
8.5,9.0
3.5,3.0
2.0,0.0
3.0,2.0
1.5,0.5
4.0,3.0
2.5,0.5
3.5,2.0
3.0,2.0
1.5,0.0
4.5,3.5
2.5,1.0
21.5,20.5
4.0,3.0
11.0,10.0
23.0,21.5
2.0,1.0
4.5,3.5
7.0,6.0
5.5,4.5
2.5,1.0
2.5,1.0
2.5,1.5
8.5,7.0
5.0,4.5
5.5,4.0
11.0,9.5
7.0,5.5
3.5,2.0
2.0,0.5
2.5,0.5
3.5,2.0
2.0,1.0
2.5,1.5
50.0,48.5
3.0,1.0
2.0,0.0
3.0,2.0
5.5,4.5
2.0,1.0
2.0,0.5
3.0,3.0
5.5,4.0
9.0,8.5
13.0,11.5
7.5,6.5
6.0,5.5
4.0,2.5
3.5,3.5
1.5,0.5
7.0,6.5
6.5,5.5
2.5,1.5
3.5,2.5
9.5,8.0
2.0,0.5
9.5,8.5
9.5,9.5
5.5,4.0
8.5,7.5
1.5,0.0
3.0,1.5
4.0,3.5
56.5,55.5
0.0,-1.5
1.5,0.0
2.0,0.5
2.0,1.0
18.0,17.0
3.0,2.0
1.0,-0.5
3.5,2.5
2.0,1.5
13.0,11.5
2.0,1.0
7.5,6.0
9.5,8.5
1.5,0.0
2.5,2.0
8.0,7.0
2.0,1.0
5.0,3.5
6.5,6.0
2.0,0.5
1.5,0.5
10.5,9.5
2.5,1.5
3.5,2.0
2.5,2.0
3.0,2.0
1.5,0.0
7.5,6.5
1.5,-0.5
1.0,0.0
1.5,0.5
4.5,3.5
2.0,0.5
6.5,5.0
6.5,5.5
5.0,4.0
50.0,48.5
86.5,86.0
4.0,2.0
2.5,1.5
8.5,7.5
8.5,7.0
20.0,19.0
3.0,1.5
18.5,17.5
2.0,0.5
2.5,1.5
3.0,2.0
2.5,2.0
3.5,2.5
2.5,1.5
5.0,4.0
4.5,3.5
2.0,0.5
5.0,4.5
3.5,2.5
7.0,6.0
4.0,2.5
3.0,1.5
6.5,6.5
1.5,0.0
4.0,3.0
4.0,3.0
3.5,3.0
4.5,3.0
5.0,3.5
2.5,1.5
2.0,1.0
2.0,0.5
2.0,0.5
2.0,1.5
3.0,1.5
1.5,0.0
0.5,-1.0
4.0,3.5
2.5,1.5
1.5,0.0
23.5,22.5
6.0,5.0
7.0,6.0
1.5,0.0
6.5,5.0
2.0,1.0
3.0,2.5
10.0,8.5
2.0,1.0
2.0,0.5
3.0,2.0
2.0,0.5
5.0,4.0
2.5,1.0
3.0,2.0
7.0,6.0
2.0,0.5
2.0,1.0
1.0,0.0
0.5,-0.5
3.5,2.5
2.5,0.5
2.0,0.5
2.0,0.5
9.0,7.0
9.5,8.0
9.0,8.0
6.0,5.5
2.0,2.0
3.5,2.0
1.5,0.0
3.0,1.5
6.0,4.0
6.0,4.5
2.5,1.5
4.0,3.0
5.0,4.0
4.5,3.5
4.0,3.5
2.0,1.0
5.0,4.5
6.0,6.5
2.5,1.5
3.0,1.5
4.0,3.0
2.0,1.0
2.5,1.5
7.0,6.0
3.0,2.0
1.5,0.5
1.5,0.5
6.0,4.5
4.5,3.5
4.5,3.0
6.5,5.5
2.5,1.0
2.0,0.5
3.0,2.5
3.0,2.5
3.0,2.5
3.0,2.0
2.0,0.5
7.0,7.0
3.5,2.5
2.0,1.5
2.0,0.5
2.0,1.0
2.5,2.5
4.5,3.0
4.0,2.5
1.5,0.0
5.5,4.5
2.5,1.5
6.0,4.5
7.0,6.0
3.0,2.0
14.5,13.0
6.5,5.5
2.5,1.0
3.5,2.5
2.5,1.5
1.5,0.5
4.5,4.0
2.5,1.5
3.0,2.0
7.0,5.5
9.5,8.0
8.5,7.5
3.0,1.5
6.0,5.0
2.5,0.5
4.5,3.0
4.0,3.0
2.5,1.0
1.5,0.5
1.5,0.0
1.5,0.5
3.5,2.5
1.5,0.0
7.0,5.5
2.5,1.5
3.5,2.0
2.0,0.5
1.5,0.0
2.0,1.0
3.0,2.0
3.0,2.0
4.0,2.5
7.0,6.5
8.0,7.0
4.5,3.0
1.5,0.0
2.5,1.5
5.5,4.5
4.5,3.5
5.5,4.5
2.5,1.0
2.0,1.0
3.0,1.5
10.5,9.5
1.5,-0.5
2.5,1.5
2.5,1.5
7.0,6.0
6.5,5.0
3.5,3.0
8.5,8.0
11.0,10.5
3.5,2.5
9.0,8.0
4.0,2.5
8.5,7.0
6.5,5.5
2.5,2.0
2.5,1.5
7.0,6.0
3.5,2.0
2.5,2.0
2.0,1.0
1.5,0.5
6.5,6.0
2.0,1.0
1.5,0.5
2.0,1.0
3.0,2.0
3.5,2.5
2.5,0.5
2.0,1.0
1.5,0.0
7.5,6.5
2.0,1.0
10.0,9.5
8.0,7.0
5.0,4.0
6.0,4.5
6.5,5.5
6.0,4.5
5.0,3.5
2.5,1.0
2.5,1.5
3.5,2.0
2.0,0.0
3.0,2.0
2.5,1.0
2.5,1.5
3.5,3.0
3.0,1.5
2.0,1.5
2.5,1.5
3.5,2.5
6.5,5.5
2.0,0.5
3.0,2.0
1.5,0.5
4.5,3.5
5.0,4.0
11.5,10.5
5.0,4.0
6.0,5.0
2.5,2.0
1.5,0.0
3.5,2.0
12.0,10.5
2.5,1.0
2.0,0.5
3.0,1.0
5.0,3.5
9.0,8.5
7.5,6.5
7.0,5.0
2.0,1.0
3.0,1.5
7.0,5.5
3.0,1.5
2.0,0.5
1.5,0.5
5.5,5.0
9.5,9.0
22.5,21.5
6.5,5.5
1.5,0.0
2.0,1.0
4.5,3.0
6.5,5.5
1.5,0.0
1.0,-0.5
2.5,1.5
2.0,0.5
9.5,8.5
1.5,0.5
2.0,1.0
2.0,1.0
1.5,1.0
2.5,1.0
3.0,2.0
5.0,4.0
4.5,3.0
2.5,1.0
3.0,2.0
1.5,0.0
7.0,6.5
3.5,2.5
2.0,1.0
2.5,1.5
3.0,2.0
3.0,2.0
2.5,1.0
3.0,2.0
3.5,2.5
2.0,1.0
4.0,3.0
3.0,1.5
5.0,4.5
28.0,26.0
1.5,0.5
3.5,3.5
2.5,1.0
2.0,1.5
3.0,2.0
3.5,1.5
4.5,3.5
1.5,0.0
3.0,1.5
2.5,1.5
20.5,19.0
2.0,1.0
