BOLOGNA SAN VITALE,BOLOGNA MAZZINI
2.5,1.5
13.5,12.0
2.0,1.0
2.0,1.0
3.5,2.5
2.5,1.5
5.0,4.0
2.5,1.5
2.0,1.0
2.5,2.0
4.0,2.5
3.5,2.5
2.0,1.0
2.5,1.5
2.0,1.0
3.0,2.0
1.5,1.5
15.5,14.5
2.0,1.0
3.5,2.5
2.0,1.0
4.5,3.0
2.0,1.0
2.5,1.5
6.0,5.0
2.0,1.5
2.5,1.5
4.0,2.5
4.5,3.0
8.5,7.0
2.5,1.0
2.0,1.5
11.0,10.0
2.5,1.5
1.0,0.5
2.0,1.5
2.5,1.0
3.0,1.5
4.0,2.5
2.5,1.5
4.0,2.5
12.0,11.0
3.0,1.5
2.0,1.0
4.0,3.0
6.0,5.0
5.5,5.0
4.0,3.0
1.0,1.0
3.0,2.0
2.5,2.0
3.5,2.5
2.0,1.0
3.0,1.5
2.0,1.0
2.5,1.5
1.5,1.0
2.0,1.0
3.5,2.5
3.5,3.0
2.0,1.5
3.5,2.5
2.5,1.5
3.0,3.0
1.5,0.0
2.5,1.0
2.0,1.5
2.0,1.0
4.0,3.0
3.0,2.5
3.0,2.0
2.0,1.5
4.5,3.5
2.5,2.5
2.0,1.0
3.0,2.0
2.5,1.5
12.5,12.0
3.5,2.5
2.0,1.5
2.5,1.5
1.5,1.0
2.5,1.5
2.0,1.0
3.0,2.0
1.5,0.5
2.5,1.5
2.5,1.0
2.5,2.0
2.5,2.0
3.0,2.0
6.5,5.5
2.5,2.0
2.0,1.0
2.0,1.0
5.0,4.0
2.0,1.5
2.0,1.5
3.5,2.5
2.5,1.5
7.0,5.5
3.5,2.0
3.0,2.0
2.0,1.0
2.0,1.0
2.5,1.5
6.5,5.0
4.5,3.5
2.5,2.5
1.5,1.5
3.5,3.0
4.0,2.5
10.5,9.0
4.5,3.0
1.5,0.5
2.0,1.0
2.0,1.0
3.0,2.0
2.5,1.5
1.5,1.0
2.0,1.5
2.0,1.0
3.5,2.5
2.0,1.0
6.5,5.5
4.0,2.5
2.0,1.0
5.0,5.0
5.5,5.0
4.0,2.5
2.0,1.0
2.5,1.5
6.0,4.5
2.0,1.0
2.0,0.5
2.0,1.5
2.5,1.0
11.0,10.5
2.0,1.0
8.0,7.0
5.0,4.0
3.0,1.5
3.0,2.0
3.0,2.0
2.5,2.0
9.0,7.5
3.5,3.0
3.5,2.0
3.5,2.5
10.5,9.5
3.5,3.0
3.0,2.0
2.0,1.5
3.0,2.0
2.5,1.0
3.0,2.0
3.5,2.5
3.0,2.0
5.0,3.5
