VERNIO MONTEPIANO CANTAGALLO,VAIANO
-0.5,-1.5
2.0,0.0
-0.5,-1.0
1.0,-1.0
3.5,2.0
2.5,1.0
-1.0,-1.5
5.0,3.0
1.0,-0.5
2.5,0.5
-1.5,-2.0
6.5,4.5
2.5,1.5
0.5,-1.5
-0.5,-1.5
9.5,9.0
-2.0,-2.0
1.0,-1.0
2.0,-0.5
5.0,3.0
-2.0,-2.0
1.0,-0.5
2.0,1.5
1.5,0.0
-1.0,-1.5
4.0,4.0
-1.5,-2.0
7.5,6.0
53.0,51.5
0.0,-2.5
-1.0,-2.0
3.5,1.5
1.0,-0.5
6.5,5.0
2.0,0.5
3.0,1.5
-0.5,-0.5
3.5,3.5
-1.0,-0.5
1.5,1.0
5.5,5.5
3.5,2.5
1.0,-0.5
4.0,2.5
1.5,0.0
2.0,0.5
-1.5,-1.5
3.0,1.0
0.5,0.0
2.0,1.5
-0.5,-1.5
4.0,3.0
0.5,-1.5
-1.0,-1.5
2.0,0.0
-0.5,-0.5
1.0,-0.5
0.0,-1.0
10.0,9.0
-0.5,-2.0
-1.5,-2.0
7.0,6.0
2.0,1.0
-1.0,-2.0
2.0,0.5
-0.5,-1.5
0.0,-2.0
-1.0,-2.0
5.5,4.5
-2.0,-2.5
72.0,69.5
1.0,0.5
1.5,0.0
0.5,0.5
-0.5,-1.0
4.0,3.5
0.5,-1.0
0.0,-1.5
2.5,0.5
-1.5,-2.0
28.0,26.5
2.5,2.0
6.5,6.0
0.5,0.5
3.5,3.5
1.5,-0.5
-1.5,-2.0
1.5,-0.5
2.0,0.5
0.5,-2.0
3.0,2.0
-0.5,-1.5
0.5,-1.5
1.0,-0.5
-1.5,-2.0
0.0,-1.0
-1.0,-1.0
4.0,2.5
-0.5,-1.5
0.0,-1.5
1.0,-1.0
0.0,-1.0
0.0,-1.5
1.0,0.0
1.5,0.0
1.0,-1.0
0.0,-1.5
-1.0,-1.5
3.0,1.0
-0.5,-1.5
12.5,10.5
0.0,-1.0
11.0,10.5
10.5,8.0
0.5,-1.5
-0.5,-2.0
1.0,-0.5
-1.0,-1.0
-0.5,-1.5
-1.0,-1.5
7.0,6.0
-0.5,-1.0
1.0,-0.5
0.0,0.0
1.0,-1.0
3.0,1.0
3.0,1.5
7.5,5.5
0.5,-1.0
0.0,-1.5
1.5,0.0
6.0,5.0
2.0,1.0
3.0,2.0
-1.5,-1.5
0.5,-1.0
-0.5,-1.0
-0.5,-2.0
-2.0,-2.0
1.0,-1.0
-1.5,-1.5
3.0,1.0
2.5,1.0
1.0,-0.5
0.0,-2.0
-0.5,-1.5
-1.0,-2.0
0.5,-1.5
-0.5,-1.5
7.5,6.5
-1.0,-2.5
-0.5,-1.5
2.0,0.5
-0.5,-1.5
0.0,-1.5
-0.5,0.5
3.5,2.5
0.0,0.0
7.0,6.0
-0.5,-1.5
2.0,1.0
-1.0,-2.0
0.0,-1.5
2.5,0.5
4.0,3.0
1.0,1.0
0.5,-0.5
0.0,-2.0
3.5,1.5
-1.0,-1.5
0.5,-1.0
-0.5,-2.0
31.5,31.5
0.0,-1.0
0.0,-1.0
2.5,1.0
0.0,-1.0
1.5,0.5
0.0,-1.0
3.0,1.5
0.0,-1.0
7.0,8.5
0.5,-1.5
6.5,5.0
3.0,2.0
8.5,6.5
2.5,1.0
3.5,2.0
1.5,1.0
2.5,1.0
0.0,-1.5
0.5,-1.5
0.0,-1.5
10.5,8.5
-1.5,-1.5
2.0,0.5
-1.5,-2.0
0.0,-2.0
-0.5,-1.5
1.0,-0.5
-2.0,-2.0
-1.0,-1.5
3.5,2.0
-1.0,-2.5
1.0,-0.5
1.0,-0.5
2.0,0.5
0.0,-1.5
8.0,5.5
0.5,-1.0
-0.5,1.5
0.5,-1.0
1.0,-0.5
6.0,5.5
0.0,-1.0
3.0,1.5
1.5,-0.5
-0.5,-2.5
14.0,12.5
-1.5,-2.5
0.5,-1.0
4.5,2.5
0.0,-1.5
-1.5,-1.0
1.5,-0.5
-1.5,-1.5
-1.5,-2.0
2.5,1.0
2.0,0.0
1.0,-0.5
0.0,-1.5
2.0,0.0
0.0,-1.5
0.5,-1.5
5.5,4.0
-0.5,0.0
1.5,0.0
-1.0,-1.5
4.0,2.5
0.0,-1.5
0.5,-0.5
-1.0,-1.5
1.0,-1.5
-1.0,-1.5
0.5,-0.5
-2.0,-2.0
1.5,-0.5
-0.5,-2.0
0.0,-1.0
0.0,-1.0
4.0,2.0
0.5,-0.5
2.5,1.5
-1.0,-2.0
1.5,0.0
0.0,-1.0
0.0,-1.5
2.0,0.0
3.5,1.5
-1.0,-1.0
0.5,-1.0
0.0,-1.0
0.5,-0.5
0.5,0.0
-1.5,-1.0
9.0,7.5
1.5,-0.5
2.5,2.0
4.0,3.0
3.0,2.0
2.5,2.0
-0.5,-1.5
2.5,1.0
0.0,-0.5
6.0,5.0
7.0,5.0
1.0,-1.0
1.0,-0.5
2.5,1.0
0.5,-1.5
8.5,6.5
-1.0,7.5
1.0,0.0
1.0,0.0
0.5,-1.0
2.5,1.5
-0.5,-1.5
3.0,0.5
0.5,0.5
-0.5,-1.0
6.5,5.5
-0.5,-1.0
0.0,-1.5
-1.0,-1.5
1.0,-1.0
-0.5,0.0
0.5,-1.0
0.0,-1.0
3.0,1.0
-1.5,-2.0
4.0,2.0
-1.0,-0.5
1.0,-0.5
-0.5,-1.5
-0.5,-0.5
4.0,3.0
-0.5,-1.0
0.5,-0.5
3.0,2.0
1.5,0.0
-1.0,-1.0
3.0,1.0
0.5,-0.5
0.0,-1.5
0.0,-1.0
14.5,13.5
9.5,8.5
-1.5,-2.0
-1.5,-2.0
1.5,0.0
-1.5,-1.5
-1.0,-1.5
-1.5,-2.5
1.0,-1.0
0.0,-1.5
6.0,4.5
-2.0,-1.5
4.5,2.5
-2.0,-2.0
-1.0,-1.5
-1.5,-1.5
0.0,-1.0
0.0,-0.5
0.5,-2.0
3.5,2.0
-1.5,-2.0
2.5,0.5
1.5,0.0
2.0,1.5
10.5,9.0
2.0,0.0
2.5,1.0
0.0,-1.5
-1.5,-1.5
0.5,0.0
-1.5,-1.5
-0.5,-2.0
