SUZZARA,ROMANORE
0.5,1.5
1.5,3.0
5.0,6.0
-1.0,2.0
0.5,1.5
5.0,6.5
4.5,5.5
7.0,10.5
1.5,3.0
0.5,1.5
3.0,4.0
2.0,3.5
1.5,4.5
-1.5,5.0
0.5,2.0
0.5,1.5
1.0,2.5
0.5,2.0
-2.0,0.5
0.0,1.5
2.0,10.0
3.0,4.0
23.0,24.0
-1.0,1.0
2.0,4.5
1.5,3.0
2.0,4.5
3.0,5.5
-2.0,4.5
1.0,2.5
1.5,2.0
3.5,5.5
2.5,3.5
0.0,4.0
2.0,3.5
1.5,3.0
4.0,6.0
1.0,3.0
8.5,5.0
1.5,4.5
0.0,3.5
6.0,7.5
6.5,8.0
4.0,5.5
-2.0,1.0
0.0,2.0
1.5,2.5
2.0,5.0
2.5,3.5
-2.0,2.0
3.5,6.0
5.5,6.0
3.0,4.5
4.0,5.0
3.0,4.0
1.5,3.0
2.5,5.5
0.0,1.0
-2.0,3.5
1.0,2.0
2.0,3.0
1.5,2.5
3.5,4.5
3.0,5.5
3.5,5.5
6.0,8.0
4.0,5.0
3.0,4.0
0.5,2.5
3.0,4.0
3.0,1.5
0.5,2.0
2.5,7.5
0.0,1.0
1.0,2.5
4.5,7.5
0.5,6.0
7.0,9.5
-2.0,2.5
23.0,24.5
3.5,4.5
3.0,4.0
0.5,1.0
-1.5,1.0
1.0,3.0
18.0,18.5
3.5,6.0
6.5,7.5
-2.5,1.0
1.5,4.5
3.5,5.0
3.0,4.5
1.0,2.0
1.0,2.5
5.5,7.0
1.0,2.5
4.5,7.0
2.0,2.0
2.5,3.5
0.5,2.0
0.5,2.5
2.0,3.5
5.0,5.5
2.0,4.5
0.0,1.0
3.5,5.0
1.0,3.0
1.0,2.0
1.0,2.5
2.0,5.0
8.0,10.0
3.5,6.0
10.5,11.5
0.0,1.0
7.0,9.5
2.0,3.5
6.5,7.5
7.5,9.0
4.5,6.0
0.0,2.0
3.0,6.0
1.0,2.0
2.0,3.0
2.0,2.5
5.0,2.5
0.5,2.5
1.0,2.0
2.0,4.5
1.0,2.0
0.0,3.5
0.5,2.5
2.5,4.5
2.5,4.0
1.0,2.0
1.5,6.0
2.0,4.0
6.0,7.5
2.0,3.0
4.5,5.0
-0.5,0.5
1.0,3.0
5.5,7.5
7.5,9.0
7.0,9.5
-2.5,4.5
2.5,4.5
1.0,2.0
2.5,4.5
0.5,3.5
1.0,2.5
3.0,4.5
1.0,2.5
2.5,5.5
2.0,3.5
1.0,3.0
2.0,4.0
2.5,6.0
1.5,3.0
2.5,3.5
8.0,10.0
5.5,6.5
0.0,3.0
3.5,5.0
2.5,4.0
0.5,2.0
1.0,2.5
0.0,1.0
5.0,6.5
0.5,1.5
4.5,5.5
2.0,3.5
7.0,8.0
-2.5,2.0
0.5,1.5
2.0,3.0
1.5,3.0
1.5,2.5
1.5,2.5
4.5,6.0
4.5,6.0
6.0,8.5
9.0,5.5
5.0,6.5
1.5,2.0
1.5,2.5
0.0,1.5
1.5,3.0
-1.0,2.0
2.0,3.5
0.5,1.5
3.0,5.5
2.0,3.0
0.5,1.0
21.0,23.5
-2.0,1.0
2.0,3.0
2.0,2.5
2.0,3.5
1.5,3.0
2.5,2.5
1.5,3.5
1.0,2.5
3.0,6.0
1.5,3.5
0.0,2.0
0.5,2.0
3.0,4.5
1.0,2.5
3.0,4.0
6.5,3.0
0.0,1.5
1.5,6.0
2.0,3.5
3.0,4.5
1.0,1.0
5.5,7.0
1.5,2.5
1.5,3.5
1.5,3.0
0.0,2.0
3.5,5.0
1.0,2.0
3.0,3.5
-0.5,1.0
7.0,9.0
1.0,2.0
25.0,27.0
2.0,3.0
