VILLANOVA DI REGGIOLO,GONZAGA-REGGIOLO
6.0,4.0
0.0,-0.5
-0.5,2.0
0.5,0.0
2.0,1.5
5.0,3.5
0.0,-0.5
0.5,0.0
0.5,0.0
0.0,-0.5
5.0,3.0
5.5,4.5
-2.5,0.5
0.0,0.0
-3.0,0.0
-0.5,-1.0
-0.5,-0.5
3.0,2.5
0.0,0.0
7.0,5.0
-1.0,-1.5
6.0,5.5
-3.5,-0.5
22.0,24.5
-1.5,1.0
