FERRARA,S.PIETRO IN CASALE
-3.0,0.0
-1.0,0.0
-3.0,0.5
-3.0,0.5
-1.0,0.5
-4.0,-0.5
4.0,6.0
1.0,2.0
-3.0,0.0
-1.5,0.0
-3.5,0.0
-3.5,2.0
4.0,7.5
1.0,3.5
-4.0,2.0
-3.5,3.5
0.0,3.5
4.0,8.5
4.5,6.5
-3.0,2.0
0.5,2.5
-2.5,1.0
6.0,7.5
-2.0,2.5
6.5,11.0
-3.0,2.0
3.5,4.5
-1.0,1.5
5.5,6.5
-2.0,0.5
-3.0,1.0
1.5,3.5
-3.0,3.0
2.0,2.5
6.5,7.5
-0.5,1.5
-4.0,1.5
-3.0,1.5
2.0,10.0
0.5,1.5
0.5,1.0
-0.5,1.0
4.0,5.5
8.5,10.0
3.0,4.0
-1.0,2.5
-2.5,1.0
-0.5,2.0
0.0,2.5
-3.0,1.0
8.0,8.0
-2.0,2.0
-4.5,0.0
3.0,4.5
-4.0,1.0
0.0,3.5
8.5,12.0
1.5,2.0
-3.0,1.0
0.5,2.0
-3.5,1.0
6.0,7.5
0.0,1.5
4.5,6.0
0.0,2.5
6.5,8.5
5.0,5.5
2.0,2.5
-1.5,1.0
-1.0,2.0
-3.5,2.5
-0.5,-0.5
-1.5,1.5
-2.5,6.0
16.5,16.0
2.5,2.5
10.5,10.0
-4.0,-0.5
-3.0,0.0
1.0,0.0
-2.0,0.0
6.5,12.0
-0.5,1.0
-2.5,1.0
5.5,5.0
-2.0,0.5
-3.5,2.5
7.5,10.0
-3.5,4.5
15.0,19.5
0.0,4.0
-4.0,5.0
-1.0,3.0
-4.0,3.5
-3.5,1.0
-0.5,1.5
-3.0,2.5
-0.5,1.0
2.5,6.0
0.5,2.0
-2.0,1.5
0.0,1.0
-3.5,0.5
-3.0,2.5
-2.5,1.0
-1.5,1.0
-2.0,2.0
2.0,4.0
2.0,3.5
-2.0,1.5
-2.5,1.0
38.0,40.5
-2.0,1.5
-3.5,1.5
2.5,4.5
-4.0,1.0
-3.0,1.5
2.0,2.0
0.5,0.5
-3.5,1.0
-4.5,0.0
-2.5,7.5
-1.5,3.5
-2.5,3.0
3.5,6.0
0.0,3.0
-3.0,1.5
-1.5,3.5
-3.5,4.0
0.0,4.5
-1.0,3.5
3.0,4.5
11.0,13.0
2.0,4.5
-3.5,2.5
-1.5,4.0
-3.0,2.0
1.5,2.0
-1.5,2.5
-3.5,1.5
-2.0,2.0
-4.0,1.0
2.5,3.5
3.5,5.5
-3.0,1.5
-4.5,1.0
0.0,2.0
-2.5,3.5
-1.5,2.0
2.0,4.0
4.5,5.0
1.0,1.5
-3.5,1.5
-1.5,1.5
-3.0,1.0
5.0,6.0
-3.5,2.5
4.5,6.0
3.0,3.0
-3.5,1.0
-2.0,1.5
-2.5,1.5
-3.5,1.0
1.5,1.5
-3.0,1.0
0.0,0.5
31.5,33.0
0.0,2.0
-1.5,4.5
-2.0,2.0
3.0,4.0
4.0,3.5
-2.5,0.5
5.5,7.0
38.5,39.0
11.0,12.0
-1.0,12.0
-4.0,2.0
-2.0,2.0
-2.0,3.5
-3.0,3.0
-4.0,3.0
7.0,37.0
5.5,6.5
-4.0,2.5
2.0,4.5
-3.0,2.5
-3.5,1.5
4.0,5.0
-2.0,1.5
1.5,4.5
0.0,2.0
-4.0,0.5
0.0,2.0
-3.0,0.5
-4.0,3.5
3.0,7.0
-3.5,3.0
2.0,6.0
7.0,10.0
-2.5,3.0
-2.5,3.0
-4.0,2.5
1.5,3.0
2.0,3.5
2.0,4.0
-1.0,1.5
-0.5,1.5
1.5,2.5
-1.0,1.5
-2.5,1.0
1.5,2.0
3.5,4.5
-2.0,1.5
-3.5,1.0
-1.5,1.5
-0.5,1.5
-3.5,1.0
-4.0,1.0
-3.0,10.5
2.0,4.5
-3.5,2.0
3.0,4.0
2.5,6.5
23.5,56.0
3.0,6.5
-3.5,3.0
26.5,30.5
-3.5,16.0
4.0,10.0
6.5,10.0
-2.5,4.0
-1.5,2.5
-0.5,3.0
4.0,5.0
-2.0,1.0
-0.5,12.0
-2.0,0.0
3.0,4.0
10.5,11.0
3.5,7.0
-0.5,1.0
-1.5,1.5
0.0,1.0
2.0,3.0
1.0,2.0
-2.5,0.0
-3.0,1.5
1.5,4.5
-3.0,1.5
-3.5,1.0
-1.5,3.0
-3.0,5.0
1.0,3.5
-2.5,3.0
1.5,4.0
4.5,7.5
0.5,4.0
-3.5,2.5
-3.0,2.0
10.0,12.0
-3.0,1.0
3.5,5.0
-3.0,3.0
4.0,5.0
2.0,3.0
0.0,2.0
13.5,18.5
-4.0,0.0
8.0,10.5
-0.5,2.0
1.5,3.0
-1.0,2.0
15.0,16.5
14.5,16.0
6.5,7.0
-0.5,2.0
-1.0,2.0
-1.5,0.5
-2.0,1.0
5.0,5.0
4.5,5.5
4.5,6.0
2.5,2.5
-1.5,2.0
0.0,2.5
4.0,6.0
0.5,3.0
6.0,7.5
-2.0,4.0
0.0,2.0
2.0,3.0
5.0,5.5
-3.0,2.0
-3.0,1.0
-3.5,0.0
3.5,6.0
-3.5,2.0
1.5,3.5
-3.0,1.0
-2.5,-1.0
-1.0,0.5
-3.0,0.0
-4.5,0.5
-1.5,0.5
-4.0,2.5
-1.5,0.0
-1.5,3.0
-2.0,0.5
-2.0,0.5
-2.5,0.0
0.0,3.0
-3.5,0.0
2.5,4.0
4.0,3.5
-2.5,0.0
6.0,8.0
-4.0,0.0
-3.5,3.0
-2.0,2.0
-2.0,4.0
-1.5,3.5
1.5,4.0
5.5,11.0
-3.0,2.5
-2.5,2.5
9.5,11.5
7.0,7.5
2.5,3.5
-1.5,1.0
-2.5,1.5
3.5,5.0
3.5,5.0
-3.0,1.0
-3.5,1.0
-2.5,1.0
1.5,2.0
6.5,7.5
3.5,5.0
-4.0,0.5
8.0,8.0
-1.0,1.5
-2.0,3.0
-3.0,0.0
0.0,2.0
-3.5,1.5
-2.5,0.0
-4.0,1.0
2.5,3.5
1.0,1.5
-2.5,1.0
-3.0,1.0
1.0,3.5
-1.0,2.0
2.5,3.5
-0.5,4.0
1.5,3.5
12.0,14.0
9.0,10.5
-1.0,3.0
3.0,8.0
-3.5,-0.5
2.0,2.5
-4.0,1.0
3.0,4.0
0.5,3.0
4.0,4.5
0.0,2.0
-1.0,4.0
1.0,2.5
7.0,8.0
4.5,5.0
0.0,2.0
-2.0,1.0
3.5,6.0
-1.0,2.0
1.5,3.0
2.5,4.5
6.5,12.5
1.5,2.0
4.5,5.5
0.0,3.5
-1.0,1.5
-3.0,1.0
8.0,8.0
-2.5,1.5
-3.5,0.0
10.5,11.0
1.0,1.5
-1.5,0.0
39.0,39.5
-2.0,0.5
-2.5,0.5
-2.5,3.5
3.0,7.0
-3.5,1.0
-2.5,0.5
-0.5,2.0
-4.0,1.0
7.5,9.0
35.5,36.0
-4.0,0.0
2.0,1.0
-2.0,1.5
-2.5,0.0
0.0,1.0
1.0,1.5
-3.0,0.0
-0.5,1.0
-3.0,0.0
3.0,8.0
-2.5,2.5
-0.5,3.0
3.5,5.0
4.5,6.5
2.5,5.5
-2.5,2.5
-2.0,3.0
-2.5,1.5
12.0,20.0
-1.5,4.5
8.5,13.5
2.0,4.5
2.5,4.0
-1.5,3.0
-3.5,3.0
-0.5,6.5
9.5,11.0
-4.0,1.5
-4.0,2.0
5.5,6.5
-0.5,1.5
-2.0,3.0
-3.5,1.0
-4.0,0.5
4.5,6.0
-1.5,0.5
-2.5,1.5
1.5,2.0
-3.5,0.5
4.0,5.0
7.0,7.0
0.5,1.0
-2.5,1.0
-4.0,1.5
-3.0,2.5
-4.0,0.5
1.0,3.0
-1.0,8.5
1.5,3.5
3.5,4.5
0.0,2.0
-3.0,2.0
-3.0,2.5
0.0,3.0
-1.5,2.0
-1.0,2.5
0.0,2.5
2.5,3.5
6.5,8.0
-0.5,1.0
-3.0,2.0
7.5,12.0
2.5,5.0
-1.5,2.5
-2.0,2.0
5.0,11.0
-2.0,4.0
3.5,7.5
-3.0,4.5
5.5,10.5
-3.0,3.5
0.5,6.0
3.5,6.5
-4.0,2.0
-1.0,4.5
-3.0,2.5
1.5,7.0
6.0,6.5
10.5,15.0
1.5,5.5
4.5,7.0
5.5,6.5
6.0,6.5
0.0,2.0
-0.5,1.0
2.0,2.0
-3.5,0.5
0.5,3.5
19.5,23.0
14.0,15.5
-2.0,0.5
2.0,3.5
-2.5,2.5
-2.0,0.5
-3.5,3.0
4.0,7.0
-3.0,3.5
15.0,16.0
0.5,4.0
7.5,15.0
-1.5,2.5
-1.0,3.5
-3.5,4.0
1.0,1.5
3.0,3.0
0.0,1.5
-3.5,1.5
-2.0,1.5
1.5,2.0
-4.0,1.5
-3.0,2.5
1.5,4.5
-0.5,2.5
4.0,5.0
14.5,14.5
0.0,2.5
4.5,5.5
-1.0,1.0
-0.5,2.5
-3.0,4.0
-0.5,1.5
-3.0,2.5
-3.0,3.0
7.0,11.5
1.5,5.5
5.0,8.5
-0.5,3.0
38.5,41.0
1.5,3.5
-3.5,1.5
4.5,6.0
-2.5,3.5
1.5,6.0
1.5,2.5
5.5,6.0
-2.0,2.0
-3.0,1.5
1.0,2.5
-2.0,1.0
1.0,1.5
-1.0,1.5
0.0,1.5
-2.5,2.5
9.0,9.5
-1.5,0.0
-3.5,1.0
-3.0,1.0
0.0,1.0
-3.5,1.5
-3.5,1.0
2.5,4.0
0.0,2.5
-3.5,1.0
0.0,2.5
-1.0,1.0
2.5,3.0
-4.0,1.0
1.0,3.0
0.0,2.0
20.5,21.5
-2.0,3.0
-3.5,0.5
102.0,105.5
40.5,67.5
119.0,138.5
51.0,61.5
36.0,43.0
28.5,29.5
1.5,2.5
4.0,7.0
1.5,2.0
-0.5,2.5
5.0,7.0
9.5,10.5
-1.0,2.0
0.0,2.0
-1.0,3.0
0.5,3.5
-2.0,2.5
-2.0,2.5
2.0,3.5
24.0,27.0
-3.5,3.0
0.0,4.0
-4.0,2.5
-2.5,1.5
5.5,8.0
2.0,7.5
1.5,3.5
-1.0,3.0
-3.0,1.5
4.0,4.5
-4.0,0.0
6.0,5.5
-3.0,-0.5
2.5,3.0
-3.5,0.0
-0.5,1.0
-2.0,0.0
-3.0,-0.5
2.0,2.0
-4.0,0.5
0.0,1.0
0.5,2.0
-3.5,-0.5
-3.0,0.0
-3.5,0.5
8.5,10.5
0.0,2.0
1.5,2.0
-0.5,1.5
2.0,4.0
0.5,3.0
8.0,13.0
3.5,5.0
1.0,3.0
-2.0,2.5
-4.0,0.5
-1.0,1.0
-2.5,2.5
1.0,4.0
-3.5,1.5
0.5,2.5
-3.5,1.5
-3.0,2.0
-2.0,1.0
2.0,3.0
0.5,11.0
-1.0,1.0
-2.0,0.5
-3.5,1.0
-2.0,2.5
-2.0,4.0
-4.5,0.5
-1.0,1.5
-3.0,2.0
1.0,2.0
-1.0,1.0
1.0,2.0
-1.0,1.5
-3.5,1.0
2.5,4.0
-2.0,1.0
3.5,4.0
3.0,4.5
2.0,12.5
1.5,1.5
5.0,6.5
-2.0,1.0
-3.0,0.5
38.0,40.0
2.5,2.5
-3.5,0.0
9.0,10.5
7.5,7.5
-2.0,0.0
0.0,2.0
-1.0,1.5
3.5,6.5
1.5,3.0
8.0,9.5
-0.5,1.5
5.0,7.0
2.0,3.5
6.5,6.5
1.5,4.5
-0.5,2.5
3.5,6.0
-3.0,1.5
3.0,4.5
-4.0,1.0
30.0,32.0
3.0,3.5
0.0,1.0
-4.0,0.5
-1.5,1.0
0.5,2.0
-3.0,2.0
1.0,2.0
-3.0,2.5
5.5,6.5
1.0,2.5
-0.5,2.0
-2.5,1.5
-3.5,2.0
-4.0,0.5
2.5,2.5
-2.5,3.0
-3.0,0.5
7.5,8.0
2.5,3.0
-3.0,0.0
1.0,1.5
-3.5,0.5
-1.0,2.5
0.5,4.0
-2.5,2.0
-2.5,9.5
1.0,3.0
6.0,6.5
2.5,4.0
-3.5,1.0
-4.0,2.0
0.5,1.5
1.5,1.5
-3.0,1.5
10.0,11.5
-2.5,3.0
2.0,3.0
-3.0,1.5
-3.0,1.5
-2.0,1.5
0.5,7.5
7.5,9.0
-3.5,2.0
5.0,6.5
-3.0,2.0
1.5,3.0
-1.5,2.5
-3.0,0.5
-3.5,1.0
3.5,4.0
-4.0,0.5
-2.0,1.5
3.0,3.0
-3.5,0.0
-0.5,2.5
-3.0,0.5
-4.0,3.5
-2.0,3.0
-0.5,4.5
-3.5,3.0
8.0,16.5
2.5,4.0
0.0,5.5
-2.0,4.5
-3.5,4.0
-2.5,1.5
5.5,6.5
-3.5,1.0
6.0,8.5
66.0,67.5
-1.0,0.5
-2.5,2.5
-3.0,3.0
4.5,6.0
-3.0,1.0
2.0,2.5
1.0,2.0
0.5,1.5
1.0,4.0
-2.0,1.5
-3.5,1.0
-1.5,1.5
-4.0,0.0
-3.0,0.5
-2.0,2.0
-3.0,1.5
3.0,4.0
0.0,0.5
-2.5,1.0
-3.5,1.5
-3.5,0.5
0.0,1.0
-2.5,1.0
-0.5,1.0
0.5,0.0
-4.0,0.0
0.5,2.0
-2.0,0.0
8.0,18.0
-3.0,2.5
0.0,2.0
3.0,3.5
-2.0,8.5
-1.5,1.5
-2.5,2.0
-4.5,0.0
2.0,3.0
-3.5,2.0
2.0,3.5
-3.5,1.0
15.0,23.0
-4.0,1.0
3.5,4.0
-3.5,0.5
-3.5,0.5
2.0,3.0
2.5,3.5
6.5,6.5
-3.0,1.0
7.5,10.0
-2.5,0.5
-1.5,1.0
10.0,10.5
-3.0,4.0
7.0,8.5
3.5,5.0
1.0,2.5
-0.5,2.0
-3.5,3.0
-1.0,2.5
2.5,5.5
-1.5,2.0
-2.0,1.5
-2.5,2.0
4.0,5.0
-3.0,1.5
1.0,2.5
3.0,3.0
-3.0,1.5
-2.0,2.5
-3.0,1.5
6.0,8.5
-1.0,3.0
5.5,7.0
-3.0,2.5
5.0,8.0
6.0,9.5
-2.5,2.5
-3.5,3.0
-3.0,2.5
-4.0,4.5
1.5,3.0
-3.5,2.5
1.0,3.5
0.0,12.5
-2.0,3.0
0.0,2.5
-3.0,2.0
0.5,2.5
-2.0,1.0
2.0,3.0
-2.5,2.5
-2.0,1.0
-3.0,1.5
5.5,5.5
-1.5,2.5
-4.0,1.0
-3.5,3.5
1.0,3.0
-3.0,6.0
-3.5,3.0
2.5,7.5
6.0,9.0
-2.0,5.5
-2.5,2.0
-3.0,3.5
6.5,9.0
0.0,2.0
4.0,4.5
0.5,3.0
3.5,6.0
11.5,14.0
4.0,4.5
0.0,1.5
-1.0,1.5
1.0,2.5
6.0,6.5
4.0,4.0
1.5,3.5
3.0,4.0
-1.0,2.0
-1.5,1.5
-1.0,3.5
-2.0,3.5
0.0,2.0
-3.5,1.0
-1.0,2.0
-3.0,1.5
3.0,5.0
0.0,3.0
-3.0,4.0
-4.0,5.5
-2.5,3.0
0.0,4.0
-3.0,2.0
-5.0,1.0
-4.0,2.0
1.5,5.5
-2.5,4.0
-3.5,2.5
-3.5,0.0
2.0,2.5
-2.0,0.0
-1.0,0.0
1.0,1.0
-3.0,0.0
-0.5,0.5
-4.5,-0.5
-3.5,1.0
6.5,7.5
-1.5,1.5
6.0,7.5
9.0,11.0
-3.0,1.5
-4.0,1.0
3.0,4.5
1.0,2.5
-0.5,7.5
8.0,9.0
4.0,6.0
-2.0,2.5
6.0,6.0
-2.5,0.5
-4.0,1.5
-2.5,4.5
0.5,5.5
-2.0,2.0
4.5,8.0
-0.5,2.0
-3.0,4.0
3.0,5.5
-3.5,2.5
-4.0,2.0
1.5,4.5
-3.5,2.0
-2.5,4.5
-4.0,2.0
5.0,6.5
-3.0,3.0
-4.5,0.5
2.0,3.5
-1.0,2.5
6.5,7.5
-2.0,0.5
2.0,3.0
-1.0,4.5
1.5,2.0
0.0,3.5
-0.5,1.5
-0.5,2.0
-2.0,1.0
1.0,2.0
3.0,5.5
0.5,3.5
-4.0,0.5
3.5,4.5
-3.0,4.5
-5.0,0.5
7.0,7.5
-3.0,0.5
5.0,8.5
8.0,9.5
5.0,5.0
3.5,4.0
-2.5,2.5
-2.5,0.0
-0.5,1.5
-1.0,2.5
-4.0,1.5
1.5,2.5
1.5,1.5
-3.5,2.0
0.5,1.5
-3.5,1.0
2.0,4.0
0.5,3.5
4.5,6.5
0.0,2.0
8.0,8.5
1.0,3.0
3.5,3.5
-0.5,1.5
-1.5,0.5
-1.5,1.5
0.0,4.5
0.0,1.0
-2.5,1.5
-1.5,0.5
1.5,3.5
-1.5,3.0
-4.0,1.5
-0.5,3.0
-2.0,2.5
8.5,8.5
-2.0,4.0
6.5,9.5
9.0,10.5
4.0,5.0
-2.5,1.5
-1.5,1.5
9.5,12.0
21.5,35.5
54.0,61.5
18.0,26.0
16.5,18.5
-1.5,7.0
-4.0,0.5
-2.0,-1.0
-3.0,0.0
-3.5,1.0
12.5,16.5
-3.0,1.0
-1.0,0.0
-3.0,1.0
-3.0,3.5
4.0,6.5
-4.0,0.5
2.5,7.0
2.0,3.5
5.0,5.5
1.0,1.0
-3.5,1.5
-3.0,2.0
-1.5,2.5
2.0,2.5
-1.5,2.0
-3.0,4.5
0.0,2.5
1.5,2.5
-3.0,1.0
-4.5,1.0
6.5,7.0
2.0,3.0
-1.0,2.5
-0.5,2.0
5.0,4.5
-1.5,0.5
1.0,2.0
-3.5,0.0
1.0,3.5
0.5,1.0
-2.0,1.0
-2.5,2.0
12.0,15.0
5.0,7.0
14.5,15.0
-2.5,1.0
1.0,1.5
-1.0,2.5
1.0,2.0
-3.5,2.0
0.5,2.0
-2.5,2.5
-3.5,1.5
-3.0,1.0
3.0,6.0
-4.5,1.5
-1.0,-1.0
6.0,5.0
37.5,37.5
-0.5,1.5
-2.5,0.5
-1.0,2.0
-1.5,0.5
-4.0,0.5
3.0,3.5
-2.0,0.0
2.0,2.5
1.0,1.0
0.5,0.5
-2.5,2.5
11.0,12.0
-2.5,1.5
3.0,3.5
3.0,5.0
-2.5,2.0
-2.0,2.0
0.5,4.0
-3.0,1.0
-2.0,1.5
-3.0,2.0
-2.5,1.5
1.0,0.5
-1.5,0.5
-1.0,1.0
-4.0,0.0
-3.5,0.0
4.5,5.5
-2.5,0.5
-3.0,1.0
0.5,2.0
3.0,6.0
2.0,2.0
-2.5,0.5
-1.0,0.0
9.0,9.5
1.0,0.5
-4.0,4.0
1.5,2.0
0.5,1.5
-2.0,1.0
0.5,2.5
12.0,13.5
-2.5,1.5
7.0,7.5
0.5,3.5
5.0,6.0
-3.0,1.5
-0.5,1.5
0.0,5.0
-3.0,1.5
-2.5,6.0
3.0,5.0
-3.0,2.0
2.0,7.5
23.0,27.5
-2.5,5.5
-2.0,3.5
-4.0,1.5
-3.5,3.0
3.0,7.5
-3.0,4.0
-2.5,5.5
-3.0,3.0
6.0,8.0
1.5,5.0
-4.0,2.0
-0.5,3.0
7.0,9.5
2.0,4.5
-2.5,3.0
4.5,8.5
8.0,11.5
1.5,2.5
-3.0,3.5
-1.5,5.5
-1.5,2.5
1.5,4.0
5.5,7.5
-4.0,1.0
-3.0,2.0
8.5,10.0
57.0,57.0
-0.5,4.0
3.0,4.0
