LUGO,RAVENNA
-0.5,0.5
0.0,0.0
5.5,11.0
1.0,4.5
18.5,20.5
-0.5,0.0
-0.5,0.5
10.5,12.0
1.5,0.5
4.5,4.5
2.5,0.5
0.5,1.5
7.0,6.5
2.5,3.5
5.0,2.5
4.5,7.0
22.0,20.0
5.5,8.0
1.0,-2.5
2.5,-1.0
1.0,0.0
1.0,3.0
-2.5,6.0
-0.5,0.5
1.0,3.0
7.5,10.0
-1.5,2.5
5.0,7.5
1.5,3.0
2.0,2.0
2.0,9.0
0.0,5.0
1.0,2.5
-1.0,1.5
0.5,1.5
3.0,4.5
-2.0,-2.5
-1.0,1.0
5.0,1.5
5.0,3.0
1.0,1.0
4.5,6.0
-0.5,2.5
3.5,5.5
1.5,3.0
0.0,2.0
1.5,2.5
-1.0,0.0
0.5,1.5
1.0,3.0
3.0,4.0
4.0,1.5
1.5,1.5
1.0,1.0
2.5,2.0
10.0,11.0
1.0,-1.0
7.0,9.0
3.5,5.0
-0.5,3.0
3.0,-1.5
1.0,2.5
6.0,5.0
3.0,3.0
1.0,0.0
4.5,3.5
-0.5,3.5
2.5,4.0
0.0,-1.0
-1.0,12.0
0.5,3.0
1.0,0.0
1.0,0.5
0.5,0.0
3.0,0.5
2.5,0.5
-0.5,-1.5
0.5,0.5
3.0,5.5
-1.0,6.5
9.5,7.5
2.0,2.5
3.0,5.5
0.0,1.0
0.5,1.0
0.0,-0.5
0.5,1.0
2.5,15.5
-0.5,0.0
-1.0,1.0
0.5,1.0
-1.0,-0.5
-0.5,-1.0
-1.5,1.5
3.0,4.5
2.0,0.5
-0.5,-0.5
3.5,4.0
1.5,1.5
-0.5,-0.5
1.0,4.5
1.0,2.0
-0.5,3.0
0.5,1.5
0.0,14.5
1.5,2.0
3.0,9.5
1.0,0.5
6.5,6.5
5.0,7.5
2.5,0.5
5.5,1.5
0.5,2.0
2.0,5.5
6.5,3.5
1.5,2.0
2.0,5.5
-0.5,-0.5
0.0,3.5
63.0,60.5
-3.0,-2.0
-2.0,-3.0
-1.0,-0.5
-0.5,0.0
7.0,5.0
-0.5,-0.5
0.0,1.0
4.5,2.5
-1.5,-3.0
-0.5,-0.5
3.0,3.5
0.5,6.0
-0.5,1.0
11.0,9.0
0.0,-0.5
0.0,3.0
2.5,3.5
7.0,3.5
5.0,3.0
1.5,0.5
4.0,4.0
7.0,6.0
6.0,4.5
1.0,1.0
12.0,10.0
8.0,4.5
10.0,4.5
35.5,35.0
19.0,20.0
0.0,4.0
1.5,3.0
0.5,3.0
3.5,5.0
6.5,6.5
2.5,5.0
5.0,15.5
2.0,-1.0
1.5,5.5
1.0,-1.0
-0.5,1.0
27.0,27.5
1.0,0.5
-0.5,-2.5
9.0,7.0
2.0,6.0
5.0,8.0
12.0,8.5
2.5,2.5
6.0,5.5
3.0,4.5
3.5,0.5
1.0,4.0
2.0,8.0
4.0,5.0
0.0,2.5
3.0,4.5
-1.0,-3.5
0.5,-1.0
6.5,11.0
5.0,6.5
5.0,5.0
1.0,5.0
-0.5,-0.5
-2.5,-2.0
0.5,-2.5
2.5,4.0
3.0,4.5
8.0,3.5
0.0,-0.5
1.5,10.5
9.0,6.5
7.0,3.5
2.0,2.0
2.5,0.5
2.0,8.5
2.0,1.0
3.5,4.5
0.5,1.0
1.5,5.5
-0.5,1.5
-1.0,-1.5
2.0,5.5
10.0,7.5
0.0,2.0
1.0,1.0
7.0,6.5
7.0,9.5
6.5,6.0
1.0,2.5
18.5,24.0
1.0,1.0
2.5,1.5
2.5,4.5
0.5,1.5
11.0,9.0
1.5,2.5
22.0,19.5
3.0,0.5
0.0,3.5
5.0,1.5
-0.5,-0.5
6.5,6.5
2.0,1.0
3.5,3.0
1.0,2.0
