GRIZZANA,SAN BENEDETTO SAMBRO-CAST.PEPOLI
-0.5,-1.5
-1.0,-0.5
3.5,2.0
-1.0,-1.0
2.5,2.0
1.0,1.5
3.5,3.0
1.5,1.0
1.0,0.5
5.0,4.0
3.0,1.5
-1.0,-0.5
1.5,2.5
-1.0,0.0
0.0,-0.5
-1.0,-0.5
6.0,6.5
0.5,0.0
0.5,1.0
-1.0,1.5
0.0,1.0
-0.5,-1.5
0.0,-1.0
-1.5,-1.5
6.0,6.0
1.0,0.0
-1.0,0.5
0.5,0.0
-0.5,0.5
-1.5,-2.0
1.0,1.0
2.0,1.5
-0.5,-1.5
0.5,-1.0
3.0,3.0
1.5,1.0
0.5,0.0
-1.5,-1.5
0.5,1.0
0.0,-1.0
-0.5,0.0
-1.0,-1.5
1.0,-0.5
3.0,3.5
1.5,2.0
-0.5,-0.5
3.0,3.5
0.5,0.0
1.0,1.5
-1.0,-0.5
7.0,6.5
0.0,0.5
0.0,-0.5
-0.5,-1.0
6.5,6.0
-1.5,-0.5
-0.5,1.0
4.5,3.5
6.5,6.0
-1.5,-1.5
0.0,0.0
-1.5,0.0
1.0,1.0
-1.0,-1.0
2.5,3.0
-1.5,-1.0
0.0,-0.5
6.5,6.0
34.5,53.0
-1.0,-1.0
-0.5,0.0
2.0,2.5
0.0,0.5
1.5,3.0
-0.5,-1.0
1.5,1.0
-0.5,-1.5
2.0,2.0
-1.0,-1.0
0.5,-1.0
5.5,6.0
2.0,2.5
0.5,0.5
0.0,-1.0
0.5,0.5
-1.5,0.5
0.0,0.0
-1.5,-0.5
1.5,2.0
0.5,-0.5
3.0,2.5
-1.0,-1.5
2.0,2.0
2.0,1.0
0.0,-0.5
-0.5,0.0
0.5,1.0
-0.5,-0.5
2.0,1.0
0.5,-0.5
5.0,5.5
1.0,-0.5
0.0,-0.5
5.5,6.0
3.5,2.5
1.5,0.5
2.0,2.0
-1.0,-2.0
-0.5,-1.0
-1.0,-1.0
4.5,5.0
-1.0,-1.0
74.0,72.5
-0.5,-1.0
1.0,1.0
-0.5,-0.5
0.0,-1.0
3.0,2.5
0.0,-0.5
-1.0,2.0
1.5,2.0
-1.0,-0.5
30.0,29.0
4.0,3.0
5.0,4.5
-0.5,-1.5
3.0,2.5
0.0,0.0
-1.5,-1.5
-0.5,-1.0
4.5,3.0
-0.5,-0.5
4.5,2.5
0.5,-0.5
4.5,3.0
1.0,0.5
-0.5,-1.0
-0.5,-0.5
0.0,-1.0
3.5,3.5
0.5,-0.5
1.0,0.0
0.5,0.5
-0.5,-1.0
0.5,-0.5
-0.5,-0.5
-0.5,-0.5
1.0,0.0
-1.0,-1.0
-1.0,0.0
0.5,2.5
1.5,0.5
14.5,13.5
0.0,-0.5
9.0,10.0
12.5,11.5
0.0,-1.0
5.5,7.0
-1.0,-1.0
0.0,0.0
-0.5,-1.0
1.5,0.0
-1.0,-1.5
7.0,6.0
-0.5,-1.5
0.5,-0.5
0.0,0.0
0.0,0.0
4.0,3.5
4.0,3.5
10.5,9.5
-0.5,0.5
2.0,1.0
12.5,12.0
-1.0,0.0
2.5,2.5
1.0,0.5
2.0,1.5
0.0,-1.5
0.5,0.5
-0.5,-0.5
-1.0,-1.0
-1.5,-1.5
0.0,0.5
-1.0,-1.5
0.0,3.5
-1.0,1.5
0.5,0.5
0.0,0.5
0.0,-0.5
-2.0,-2.0
0.0,-1.0
-1.0,-0.5
2.5,4.0
-1.5,-0.5
-1.0,-1.5
0.5,1.5
-1.0,-1.0
0.5,0.0
-1.0,-1.0
2.5,2.5
0.0,-0.5
7.5,6.5
-1.0,-0.5
0.5,1.5
-1.0,0.0
-0.5,-0.5
-0.5,2.5
2.5,2.0
-1.0,-1.0
-0.5,-1.0
3.5,1.5
2.0,2.0
-1.0,-1.0
-0.5,-1.5
-0.5,-1.5
28.5,29.0
0.0,-0.5
-0.5,-1.0
0.0,0.5
-1.0,-1.0
0.0,-1.0
1.0,1.0
2.0,2.5
0.5,0.0
6.0,5.5
0.5,0.0
2.0,2.0
3.0,4.0
10.0,9.5
4.5,3.0
1.0,2.0
2.0,1.5
3.5,2.5
-0.5,-1.0
-1.0,0.5
0.5,0.5
8.0,7.5
-0.5,-1.0
0.5,0.5
-1.0,-1.5
0.5,-0.5
-0.5,-0.5
0.0,0.5
-1.0,-1.0
8.5,8.5
-0.5,-1.5
1.5,2.5
-1.5,-1.5
1.0,0.5
0.0,-1.0
1.0,1.0
0.0,-0.5
10.0,9.0
0.0,-1.0
-1.0,-1.5
-0.5,0.0
-1.0,-1.5
-0.5,0.5
0.0,-0.5
2.5,2.5
-1.0,-1.5
6.0,5.0
1.5,1.5
2.0,1.5
15.0,14.5
0.0,-0.5
0.0,-0.5
2.5,0.5
0.0,-1.0
-0.5,-1.0
0.5,1.0
0.0,0.0
-1.0,-0.5
3.0,1.5
-0.5,0.5
0.0,-0.5
5.0,3.0
0.0,-0.5
0.5,0.0
1.0,0.5
2.0,1.0
4.5,4.5
0.0,-1.0
-0.5,1.5
-1.0,-1.5
1.5,2.5
-1.0,-1.5
0.0,-1.0
-0.5,-1.0
-0.5,-0.5
0.0,-1.5
-1.0,-1.0
-2.0,-0.5
0.5,1.0
2.0,1.5
-1.0,-0.5
1.0,1.0
2.0,2.0
0.5,0.0
2.0,2.0
-1.5,-1.5
-0.5,-0.5
-0.5,-1.5
0.5,-0.5
1.0,4.0
1.5,2.0
-0.5,-0.5
1.0,0.0
-0.5,-0.5
-0.5,0.0
0.5,-0.5
0.0,0.5
9.0,10.0
0.5,0.0
0.5,0.5
0.0,1.0
0.0,-0.5
0.0,0.5
-1.5,-1.5
-1.5,-1.5
-0.5,-1.5
2.0,2.5
-1.5,-1.0
-0.5,-1.0
1.5,1.0
0.5,2.0
2.0,1.5
0.0,0.0
-0.5,-0.5
0.5,0.5
2.0,1.0
0.5,-0.5
0.5,0.5
-0.5,-1.0
3.0,2.0
0.0,-1.0
0.5,-0.5
2.5,3.5
-0.5,-0.5
-0.5,0.0
-1.0,-1.5
0.5,0.5
-1.0,-1.5
1.0,1.0
-0.5,-0.5
1.5,2.0
0.0,-0.5
5.5,4.5
-0.5,-1.0
-0.5,0.0
-1.0,-1.0
-1.0,-1.5
0.5,2.5
0.0,-1.0
-1.5,-1.5
0.0,0.0
-0.5,-0.5
0.0,0.0
1.0,1.5
1.5,1.0
-0.5,0.0
0.0,0.0
12.0,13.0
10.5,10.5
-1.0,-1.5
-1.0,-1.5
0.5,0.0
-1.0,-1.0
-1.0,-1.0
-0.5,-1.0
-0.5,1.0
-1.5,0.0
7.0,6.5
-0.5,-0.5
4.0,4.5
-1.5,-1.0
-1.0,-1.0
-0.5,-1.5
0.0,-0.5
0.0,-0.5
3.0,2.0
2.5,2.5
-0.5,-0.5
3.0,2.5
5.0,3.0
1.0,1.0
1.5,9.5
-0.5,-1.0
0.5,0.5
-1.5,-1.5
-1.0,-1.0
0.5,0.5
-1.0,-1.0
-1.0,-1.0
