VILLANOVA DI REGGIOLO,ROLO NOVI FABBRICO
5.0,3.0
4.5,2.5
2.0,0.5
3.5,2.0
1.5,-0.5
3.0,1.5
1.0,-1.0
4.0,2.0
5.0,3.5
6.5,8.0
5.0,3.5
0.5,-1.0
4.5,2.5
2.0,1.5
6.5,4.5
6.0,6.0
0.5,0.0
10.5,9.0
7.5,6.0
1.5,0.0
9.0,7.0
4.0,2.5
3.5,1.5
0.5,-1.0
1.5,-0.5
3.0,1.5
0.5,-1.5
1.0,-1.0
2.5,0.5
2.5,2.0
4.0,2.5
4.0,4.0
1.5,-0.5
2.0,0.5
3.0,1.5
24.0,24.0
15.5,14.0
10.0,8.0
6.5,4.5
3.0,1.0
27.5,28.0
71.0,66.5
3.5,2.0
6.0,4.5
3.0,1.5
11.5,10.0
1.5,-0.5
3.0,3.0
3.0,1.5
3.0,1.0
4.0,2.0
3.5,2.0
7.5,5.0
26.5,25.0
5.5,3.5
6.5,6.5
4.0,4.0
6.5,4.0
5.5,4.0
3.0,2.0
2.0,1.5
4.0,3.5
6.0,6.0
3.5,1.5
6.5,5.0
1.5,1.0
6.5,6.5
1.5,1.5
5.5,1.5
7.5,7.0
3.0,1.5
1.5,-0.5
10.0,7.5
4.0,2.5
1.0,-1.5
3.5,2.5
1.0,-1.0
4.0,2.5
3.0,1.5
0.5,-1.0
4.5,2.5
1.5,0.0
22.0,20.5
5.0,3.5
10.5,9.0
22.5,20.5
2.0,0.5
4.0,2.5
6.0,4.5
2.5,1.0
8.5,6.5
6.0,4.5
5.0,3.0
11.0,9.5
6.5,4.5
3.5,2.0
1.5,0.0
1.5,-0.5
3.0,1.5
2.5,0.5
2.0,1.0
49.0,47.0
1.5,-0.5
1.0,-0.5
2.5,2.5
5.0,4.5
2.0,1.5
1.0,0.5
4.5,4.0
14.5,14.5
7.0,6.5
3.0,2.0
4.5,4.5
2.5,2.5
7.0,6.5
6.0,5.5
1.5,-0.5
3.5,2.0
9.0,7.0
1.5,-0.5
10.5,9.0
11.5,11.0
4.5,2.5
8.5,7.0
0.5,-1.0
2.5,1.0
7.5,7.0
56.5,55.0
0.5,-1.5
1.0,-0.5
1.0,-0.5
17.5,16.0
0.0,-1.5
2.0,0.5
12.5,10.5
2.5,1.0
6.5,4.5
9.5,8.0
1.0,-0.5
3.0,1.5
7.5,6.0
2.5,0.5
3.5,1.5
7.0,5.5
1.5,-0.5
1.5,0.5
10.0,8.0
3.5,2.0
3.0,1.0
3.5,1.5
1.0,0.5
1.0,0.5
1.0,0.0
1.5,1.5
7.0,5.0
1.5,-0.5
6.0,5.5
8.0,8.5
5.0,3.0
49.0,48.0
90.5,89.5
3.0,1.0
2.0,0.0
8.5,7.0
8.0,6.0
19.5,18.0
1.5,-0.5
18.5,17.0
1.5,0.0
2.5,0.5
2.5,0.5
2.5,1.0
3.0,1.5
2.5,1.0
5.5,4.0
5.0,3.5
1.0,-1.5
5.5,4.5
3.5,2.0
7.5,5.5
3.5,2.0
2.5,1.0
8.0,6.5
1.0,0.5
5.5,5.5
4.0,2.5
4.5,4.0
4.0,3.5
4.0,2.0
4.0,2.5
2.5,2.5
1.0,-1.0
2.5,1.0
3.0,2.5
2.5,2.0
1.0,0.5
0.5,-0.5
5.0,4.5
2.5,1.0
0.5,-1.5
24.0,22.5
6.5,5.0
1.0,-1.0
6.0,6.0
2.0,0.5
3.5,2.0
9.0,7.5
1.0,-1.0
1.0,-0.5
4.5,3.0
2.0,0.5
3.5,2.0
7.5,6.0
1.5,0.5
2.0,0.5
1.0,-0.5
1.0,-0.5
4.0,2.5
1.0,-1.5
1.5,0.0
1.0,-1.0
7.5,5.5
8.5,6.5
8.5,6.5
6.5,5.0
5.0,2.5
3.5,2.0
1.0,-0.5
2.5,0.5
4.5,2.0
5.5,3.5
5.0,3.0
2.0,0.5
3.0,1.5
2.0,-0.5
3.5,2.0
3.0,1.5
2.5,2.0
7.0,5.0
3.0,1.0
1.0,-1.0
1.5,1.0
6.0,5.5
5.0,5.5
3.5,3.0
7.0,6.5
2.0,1.5
1.5,0.0
4.0,4.0
3.5,2.5
4.0,2.5
1.0,-1.0
2.5,0.5
1.0,0.5
2.0,1.5
4.0,3.5
4.0,3.0
4.0,3.5
1.0,1.0
6.0,4.5
5.5,3.5
7.0,5.5
3.5,2.0
13.0,11.0
6.5,5.0
2.5,0.5
3.5,2.0
1.5,1.0
3.0,1.5
6.5,4.5
8.5,7.5
9.0,8.0
2.5,0.5
6.5,5.0
1.5,-0.5
1.0,0.5
2.0,2.5
4.0,2.0
2.0,1.5
7.0,6.5
3.0,1.5
3.0,1.5
2.0,0.5
1.0,-1.0
1.5,0.0
3.5,1.5
3.5,2.0
12.0,7.0
8.0,6.0
4.0,2.0
1.0,-0.5
2.5,0.5
5.5,4.5
4.5,3.5
6.0,4.0
2.5,0.5
5.5,3.5
4.5,3.5
10.5,9.0
0.5,-1.5
2.0,0.0
2.0,0.0
11.0,9.0
4.5,4.0
9.0,7.5
4.0,3.0
9.0,7.5
3.5,1.5
7.5,5.5
6.5,5.0
3.0,2.0
3.0,2.5
7.0,5.5
2.5,0.5
3.0,1.5
2.0,1.5
5.0,3.5
7.5,6.0
2.5,1.5
1.5,0.0
3.5,2.5
2.0,0.0
1.0,-1.0
10.0,8.5
2.0,0.5
10.5,8.5
8.0,7.5
5.0,4.0
5.5,5.0
6.5,6.0
2.5,0.5
2.5,0.5
3.5,2.0
1.0,-1.0
2.5,1.0
3.0,1.5
2.5,1.0
2.5,1.0
2.5,1.0
3.5,1.5
6.5,4.5
1.5,0.0
4.0,2.5
1.5,0.0
5.5,6.0
10.5,10.0
12.0,11.5
5.0,3.5
6.0,4.5
4.0,4.0
1.0,1.0
20.0,19.5
12.0,10.0
2.0,1.0
2.0,2.0
2.0,0.0
4.5,3.0
7.5,6.0
6.0,4.5
2.0,2.0
2.5,2.5
7.0,5.5
2.5,2.5
1.5,1.5
2.0,0.5
6.5,5.0
11.0,9.5
22.5,21.0
6.5,5.0
0.5,-1.0
1.5,0.0
7.0,5.0
6.0,4.5
1.5,-0.5
0.5,-1.0
1.5,0.0
1.5,0.0
2.5,1.5
2.0,2.0
3.0,2.5
5.5,4.0
3.5,2.5
2.5,2.5
3.0,1.5
7.5,6.0
2.5,1.0
2.5,1.0
3.5,1.5
2.0,0.0
3.5,1.5
4.5,4.5
2.5,0.0
5.5,3.5
5.0,3.5
3.0,1.5
3.5,1.5
4.5,2.0
4.5,3.0
1.5,-0.5
2.5,2.0
5.5,1.0
20.0,19.5
