MUSIANO-PIAN DI MACINA,PIANORO
3.5,1.5
1.5,-0.5
1.0,-1.0
1.5,-0.5
1.0,-1.0
1.0,-1.0
1.0,-1.5
3.5,1.5
1.5,2.0
1.5,-0.5
1.5,0.0
1.5,-0.5
3.5,2.0
1.0,-1.0
1.5,-0.5
4.0,2.5
2.0,0.0
2.0,0.0
1.0,-1.5
8.0,6.5
2.0,0.0
1.5,-0.5
1.5,-0.5
5.5,4.0
1.5,-0.5
1.0,-1.0
9.5,7.5
4.5,3.5
1.0,-1.0
1.5,-0.5
1.0,-1.0
1.5,0.0
1.0,-1.0
1.5,-1.0
1.5,-0.5
1.5,-0.5
8.0,6.5
7.5,16.5
1.0,-1.0
1.0,-1.0
2.0,0.0
0.5,-1.0
1.5,-0.5
1.0,-1.0
4.0,2.0
1.5,-0.5
1.5,-0.5
1.0,-1.0
2.0,0.5
5.5,4.0
3.5,1.5
2.5,0.5
3.5,1.5
2.5,0.5
1.0,-1.0
1.0,-0.5
2.5,0.0
2.0,0.5
1.0,-1.0
5.5,3.5
1.0,-1.0
2.5,0.5
1.5,1.0
0.5,-1.0
1.5,-1.0
2.0,0.5
2.0,0.0
3.5,1.5
1.5,0.0
6.0,4.5
3.5,1.5
1.5,-0.5
5.0,3.0
5.5,3.5
1.0,-1.0
3.5,2.0
1.0,-1.0
1.5,-0.5
1.0,-0.5
3.5,2.5
1.5,-1.0
78.0,75.5
3.5,1.0
2.0,0.5
1.0,-1.0
1.5,-0.5
3.5,2.0
4.0,2.0
1.0,-1.0
2.0,0.0
2.0,-0.5
33.5,31.5
6.0,4.5
7.0,5.0
2.0,0.0
4.5,3.0
2.0,0.0
1.0,-1.0
1.5,-0.5
1.5,-1.0
1.5,-1.0
6.0,4.5
1.5,-0.5
0.5,-0.5
1.5,-0.5
1.0,-1.0
1.0,-1.0
1.5,-0.5
4.0,2.5
1.0,-0.5
3.0,1.0
1.5,0.0
3.5,1.5
1.5,0.0
1.5,-0.5
1.0,-1.0
2.5,1.0
2.0,0.0
1.0,-1.0
2.0,0.0
1.0,-0.5
13.5,11.5
2.0,0.0
7.0,5.5
13.5,13.5
1.0,-1.0
7.0,5.5
1.0,-1.5
2.0,0.0
1.0,-1.0
1.5,-0.5
1.0,-1.0
10.0,7.5
3.5,1.5
2.5,0.5
1.5,0.0
0.0,-1.5
8.0,6.0
5.0,3.5
15.0,12.5
1.0,-0.5
2.0,-0.5
16.5,14.0
2.0,0.0
3.5,2.0
6.0,3.5
5.0,3.0
1.0,-1.0
1.5,1.5
1.0,-1.0
1.0,-1.0
1.5,-0.5
1.5,-0.5
1.5,-0.5
2.0,0.0
0.5,-1.5
1.0,-0.5
3.5,2.0
2.0,0.0
3.0,1.0
2.5,0.5
1.0,-1.0
4.0,2.0
1.5,-1.0
34.5,34.5
1.0,-1.0
1.0,-1.0
1.0,-1.0
2.5,0.5
1.0,-0.5
1.5,0.5
2.0,0.0
7.0,6.0
1.5,-0.5
1.0,-0.5
2.5,0.5
1.5,0.0
0.5,-1.5
2.0,0.0
1.5,-0.5
1.0,-1.0
1.0,0.0
1.5,-0.5
1.0,-1.0
1.0,-1.0
1.0,-0.5
28.0,26.5
2.0,0.0
2.0,0.0
1.0,-1.0
1.5,-1.0
1.5,-0.5
1.5,0.0
2.5,0.5
1.5,-0.5
3.5,1.5
2.5,0.5
2.0,0.5
4.5,3.0
7.5,6.0
4.0,2.5
3.0,1.0
2.5,0.5
5.0,3.5
1.0,-1.0
1.0,-1.0
1.5,-0.5
11.0,9.0
1.0,-1.0
1.0,-0.5
1.0,-1.0
2.0,0.0
2.5,0.5
1.5,-0.5
1.0,-1.0
2.5,1.0
1.0,-1.0
3.0,1.0
1.0,-1.0
2.0,0.0
1.0,-1.0
2.0,0.0
2.0,0.5
13.5,11.5
1.5,0.0
1.5,-0.5
1.0,-1.0
1.0,-1.0
1.0,-1.0
1.0,-1.0
3.5,2.0
1.5,-0.5
1.5,-0.5
3.0,2.0
1.0,-1.0
17.5,15.5
1.0,-1.0
1.0,-1.0
7.5,5.0
2.0,0.0
1.5,-0.5
1.5,-0.5
3.0,0.5
1.0,-1.0
5.5,3.5
1.5,-0.5
2.5,0.5
9.0,6.5
1.0,-1.0
1.5,-0.5
3.0,1.0
5.0,3.0
6.0,4.0
3.0,1.5
1.0,-1.5
1.0,-1.0
3.0,1.0
1.5,-0.5
2.5,0.5
1.0,-1.0
1.0,-0.5
2.5,0.5
1.0,-1.0
1.0,-1.0
1.5,-0.5
5.0,2.5
1.5,-0.5
2.5,0.5
2.5,1.0
3.0,1.0
1.5,-0.5
1.0,-1.0
1.0,-0.5
1.0,-0.5
2.5,0.5
1.5,-1.0
2.5,1.0
1.0,-1.0
3.0,1.0
1.5,-0.5
1.5,-0.5
3.0,1.5
2.0,0.5
11.5,9.5
2.5,0.0
2.0,1.0
1.5,-0.5
2.0,0.0
1.5,-0.5
1.5,-1.0
1.5,-0.5
0.5,-1.5
1.5,-0.5
1.0,-1.0
1.0,-0.5
2.0,0.5
1.5,-0.5
5.0,3.0
2.5,0.5
3.0,0.5
1.0,-0.5
4.5,2.5
1.5,0.0
1.5,-0.5
1.0,-1.0
1.0,-0.5
3.0,1.0
1.5,-0.5
2.0,0.5
1.0,-1.0
1.5,-0.5
1.0,-1.5
2.5,0.5
1.5,-0.5
2.5,0.5
1.0,-1.0
2.5,1.0
2.0,0.0
8.5,6.5
1.0,-1.0
1.0,-1.0
1.0,-1.0
1.0,-1.0
2.0,0.0
1.5,0.0
1.0,-1.0
1.0,-1.0
1.0,-0.5
3.0,1.0
1.5,0.0
4.5,2.5
1.5,-0.5
1.5,-1.0
6.5,10.0
13.0,11.0
1.0,-1.0
1.0,-1.0
1.0,-1.0
2.0,0.0
1.5,-0.5
1.0,-1.0
1.0,-1.0
1.5,-0.5
10.0,8.0
1.0,-1.0
6.0,4.0
1.5,0.0
1.0,-1.0
2.0,0.5
2.5,0.5
2.5,0.5
7.0,5.0
3.0,1.5
1.0,-1.0
3.5,1.5
8.0,6.0
2.5,0.5
3.0,1.0
2.0,0.5
2.0,0.0
1.0,-1.0
1.0,-1.0
1.5,-0.5
2.0,0.0
1.5,-0.5
