GODO,RAVENNA
0.5,-3.5
8.0,7.0
1.0,-1.5
19.5,16.0
5.0,3.0
4.0,3.5
3.5,1.0
1.5,-0.5
3.0,-1.0
3.5,1.0
4.0,1.0
14.5,10.5
2.0,-0.5
5.0,3.0
10.5,7.5
4.0,1.5
5.5,2.5
0.5,-3.5
0.5,-1.5
32.5,31.5
15.5,14.5
0.5,-1.5
1.5,-3.0
15.0,12.0
14.5,13.0
2.5,1.0
2.5,0.5
0.5,-2.5
2.5,-2.0
11.0,9.5
8.0,6.0
8.0,5.5
2.0,-1.0
4.0,1.0
3.0,-2.0
8.5,4.5
0.0,-2.0
2.0,-1.0
2.5,3.0
1.0,-0.5
7.0,3.0
18.5,15.0
1.5,-0.5
1.5,-3.5
11.0,8.0
4.5,2.0
6.0,3.0
2.5,0.5
2.0,0.0
0.0,-1.0
0.5,-3.5
0.0,-5.0
2.5,0.0
3.5,1.5
0.5,-2.5
4.0,1.0
