MONZUNO,GRIZZANA
1.5,1.5
-1.5,-1.0
31.0,30.0
4.0,4.0
5.5,5.0
-0.5,-0.5
3.0,3.0
0.5,0.0
-1.5,-1.5
-0.5,-0.5
-0.5,4.5
0.5,-0.5
4.5,4.5
0.5,0.5
5.5,4.5
1.0,1.0
-0.5,-0.5
-1.0,-0.5
0.0,0.0
3.0,3.5
1.0,0.5
2.0,1.0
1.5,0.5
1.0,-0.5
0.5,0.5
0.0,-0.5
0.5,-0.5
0.5,1.0
0.0,-1.0
-1.0,-1.0
1.0,0.5
3.5,1.5
13.0,14.5
0.0,0.0
7.0,9.0
13.0,12.5
0.0,0.0
5.0,5.5
-1.0,-1.0
0.5,0.0
-0.5,-0.5
0.5,1.5
0.0,-1.0
8.5,7.0
1.0,-0.5
0.5,0.5
0.0,0.0
0.0,0.0
5.0,4.0
4.0,4.0
12.0,10.5
0.5,-0.5
0.5,2.0
13.0,12.5
-1.0,-1.0
2.5,2.5
2.5,1.0
2.5,2.0
-1.0,0.0
1.5,0.5
0.5,-0.5
-0.5,-1.0
-0.5,-1.5
0.0,0.0
0.0,-1.0
0.0,0.0
-0.5,-1.0
1.0,0.5
1.0,0.0
0.0,0.0
-0.5,-2.0
0.0,0.0
-0.5,-1.0
3.0,2.5
-1.5,-1.5
35.0,35.0
0.0,-1.0
0.0,0.5
-1.0,-1.0
1.0,0.5
-0.5,-1.0
2.0,2.5
0.5,0.0
6.0,7.5
-0.5,-1.0
0.5,0.5
0.0,-1.0
0.0,-0.5
-0.5,-0.5
1.5,2.5
-1.0,-1.0
-0.5,-0.5
5.0,3.5
1.0,2.0
-1.0,-1.0
-1.0,-0.5
-0.5,-0.5
28.0,28.5
0.0,0.0
0.0,-0.5
1.0,0.0
-1.0,-1.0
0.0,0.0
1.5,1.0
1.5,2.0
0.5,0.5
1.0,6.0
0.0,0.5
1.5,2.0
2.5,3.0
10.5,10.0
5.0,4.5
1.5,1.0
1.5,2.0
3.5,3.5
-0.5,-0.5
0.0,-1.0
1.0,0.5
8.5,8.0
-0.5,-0.5
1.0,0.5
-0.5,-1.0
0.0,0.5
-0.5,-0.5
0.5,0.0
-1.0,-1.0
9.0,8.5
-1.0,-0.5
2.0,1.5
-1.0,-1.5
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
11.0,10.0
0.0,0.0
-0.5,-1.0
0.0,-0.5
-0.5,-1.0
-0.5,-0.5
-0.5,0.0
3.0,2.5
-0.5,-1.0
7.0,6.0
2.5,1.5
3.5,2.0
15.5,15.0
-1.0,0.0
0.5,0.0
4.0,2.5
0.0,0.0
0.0,-0.5
1.0,0.5
0.0,0.0
-0.5,-1.0
3.0,3.0
0.5,-0.5
0.5,0.0
6.5,5.0
0.0,0.0
0.5,0.5
1.5,1.0
2.0,2.0
4.5,4.5
0.5,0.0
-0.5,-0.5
-1.5,-1.0
2.0,1.5
0.0,-1.0
0.0,0.0
0.0,-0.5
0.5,-0.5
1.0,0.0
0.0,-1.0
-1.5,-2.0
1.0,0.5
2.0,2.0
-0.5,-1.0
0.5,1.0
1.5,2.0
0.5,0.5
0.0,2.0
-1.5,-1.5
0.0,-0.5
0.0,-0.5
0.0,0.5
-1.5,1.0
1.0,1.5
-1.0,-0.5
1.5,1.0
0.0,-0.5
0.5,-0.5
1.0,0.5
0.0,0.0
9.5,9.0
0.0,0.5
0.5,0.5
0.0,0.0
1.0,0.0
0.5,0.0
-0.5,-1.5
-0.5,-1.5
-1.5,-0.5
1.5,2.0
-0.5,-1.5
0.5,-0.5
0.5,1.5
0.0,0.5
2.5,2.0
0.0,0.0
0.0,-0.5
0.5,0.5
2.0,2.0
-0.5,0.5
1.0,0.5
-0.5,-0.5
1.5,3.0
0.0,0.0
-0.5,0.5
2.0,2.5
-0.5,-0.5
0.0,-0.5
-0.5,-1.0
1.0,0.5
-0.5,-1.0
0.5,1.0
-1.0,-0.5
1.5,1.5
-1.0,0.0
6.0,5.5
0.0,-0.5
0.5,-0.5
0.0,-1.0
-1.0,-1.0
0.5,0.5
1.0,0.0
-1.0,-1.5
0.0,0.0
-0.5,-0.5
0.0,0.0
1.0,1.0
1.5,1.5
-0.5,-0.5
0.0,0.0
11.5,12.0
11.0,10.5
-1.0,-1.0
-1.5,-1.0
0.5,0.5
-0.5,-1.0
-0.5,-1.0
-0.5,-0.5
0.5,-0.5
-1.5,-1.5
7.5,7.0
-1.0,-0.5
4.0,4.0
-1.0,-1.5
-1.0,-1.0
0.0,-0.5
1.0,0.0
0.5,0.0
4.0,3.0
2.5,2.5
0.0,-0.5
1.5,3.0
5.5,5.0
1.5,1.0
2.0,1.5
0.0,-0.5
1.0,0.5
-1.0,-1.5
-1.0,-1.0
0.5,0.5
-0.5,-1.0
-1.5,-1.0
