VAIANO,PRATO CENTRALE
1.0,-2.0
-0.5,0.5
-1.5,0.5
-1.0,1.0
13.5,11.5
8.5,8.5
-2.0,-0.5
-2.0,-0.5
0.0,-2.5
-1.5,0.0
-1.5,-0.5
-2.5,-0.5
-1.0,-3.5
-1.5,-0.5
4.5,4.0
-1.5,-0.5
2.5,-0.5
-2.0,-1.0
-1.5,0.0
-1.5,0.0
-1.0,-2.5
-0.5,0.0
-2.0,0.0
2.0,-0.5
-2.0,-0.5
0.0,0.0
1.5,-0.5
9.0,9.0
0.0,-0.5
1.0,-1.5
-1.5,0.0
-1.5,-0.5
0.0,-2.0
-1.5,0.0
-2.0,-1.0
